index	text	answer	source_model
1	La police m'a arrêté hier soir et accusé de possession de cocaïne. On m'a trouvé avec 1,5 gramme sur moi. C'est ma première offense. J'ai été libéré sous conditions. Quelles sont les conséquences possibles et est-ce que je peux éviter un casier judiciaire ?	Oui	claude
2	J'ai reçu une mise en accusation pour fraude de moins de 5 000 $. On prétend que j'aurais utilisé la carte de crédit d'un collègue sans sa permission. Je nie les faits. Quels sont mes droits lors des procédures criminelles qui vont suivre ?	Oui	claude
3	Mon fils de 17 ans a été arrêté pour voies de fait simples lors d'une bagarre à l'école. La police l'a relâché à nos soins. Il va comparaître devant le tribunal de la jeunesse. Quelles sont les différences avec le système adulte ?	Oui	claude
4	J'ai été victime d'une introduction par effraction. Le voleur a été arrêté et accusé. Je veux savoir si je peux réclamer des dommages-intérêts dans le cadre des procédures criminelles et comment participer au processus comme victime.	Oui	claude
5	J'ai reçu une sommation pour conduite avec facultés affaiblies (taux d'alcoolémie de 0,11 %). J'ai refusé l'alcootest dans un premier temps. Quelles sont les infractions qui me seront reprochées et quelles sont les conséquences sur mon permis de conduire ?	Oui	claude
6	Mon propriétaire m'a locké dehors de mon appartement sans avis en changeant les serrures. J'ai tous mes effets personnels à l'intérieur. Qu'est-ce que je peux faire pour rentrer chez moi et récupérer mes affaires ?	Non	claude
7	J'ai acheté un ordinateur en ligne et le vendeur m'a envoyé un produit complètement différent de ce qui était annoncé. Il refuse de rembourser. Est-ce que je peux le poursuivre et comment ?	Non	claude
8	Mon employeur a mis fin à mon contrat de travail sans préavis en alléguant une faute grave que je conteste. Je n'ai reçu aucune indemnité. Quels sont mes recours devant la Commission des normes du travail ?	Non	claude
9	Mon voisin a intentionnellement endommagé ma clôture lors d'un désaccord sur la limite des terrains. J'ai des photos et un témoin. Puis-je le poursuivre pour les dommages et obtenir une injonction pour qu'il cesse ?	Non	claude
10	Ma fille a été harcelée par un enseignant à l'école. La direction a refusé d'agir. Je veux porter plainte. Dois-je aller à la police, au conseil scolaire ou au Tribunal des droits de la personne ?	Non	claude
