index	text	answer	source_model
1	Extrait de décision : « La Cour confirme que l'arrêt Procureur général du Canada c Mossip [1988] RJQ 1971 (CA) ne peut plus être considéré comme faisant autorité sur la question du droit à l'égalité devant la loi en matière d'emploi. La présente Cour renverse explicitement cet arrêt en ce qu'il restreignait la portée de l'art. 10 de la Charte des droits et libertés de la personne. » — Précédent : Procureur général du Canada c Mossip [1988] RJQ 1971 (CA)	Renversé explicitement	claude
2	Extrait de décision : « Par les présents motifs, la Cour déclare que le test à deux étapes formulé dans notre propre décision Société canadienne des droits d'auteur c Télévision Éducative [2007] QCCA 1424 n'est plus conforme à l'état du droit tel qu'établi par la Cour suprême. Ledit test est par les présentes expressément écarté et remplacé par le critère unifié exposé aux paragraphes 47 à 52 des présents motifs. » — Précédent : Société canadienne des droits d'auteur c Télévision Éducative [2007] QCCA 1424	Renversé explicitement	claude
3	Extrait de décision : « Bien que la présente Cour ait antérieurement reconnu dans Dupont c Constructions Lévis ltée [2003] QCCA 892 qu'une clause résolutoire pouvait produire ses effets sans mise en demeure préalable, l'évolution de la doctrine et de la jurisprudence depuis lors conduit la Cour à adopter une interprétation plus restrictive. La règle posée dans Dupont est incompatible avec l'art. 1605 CCQ tel qu'interprété dans les arrêts subséquents et ne peut plus être maintenue. » — Précédent : Dupont c Constructions Lévis ltée [2003] QCCA 892	Renversé explicitement	claude
4	Extrait de décision : « L'approche retenue dans Syndicat national des travailleurs c Industries Précision [1994] RJQ 2248 (CA), qui assimilait toute modification des conditions de travail à une résiliation implicite du contrat, apparaît difficile à concilier avec les principes généraux de droit du travail désormais consacrés. Sans formellement renverser cet arrêt, la Cour adopte un critère plus nuancé qui prive de facto la règle antérieure de l'essentiel de son champ d'application. » — Précédent : Syndicat national des travailleurs c Industries Précision [1994] RJQ 2248 (CA)	Renversé implicitement	claude
5	Extrait de décision : « La prétention des appelants s'appuie sur l'interprétation donnée dans Assurances Mutuelle Laval c Entreprises Richard [2001] QCCA 1102 selon laquelle une clause d'exclusion ambiguë doit être interprétée contra proferentem même en contexte commercial. L'évolution jurisprudentielle depuis lors commande toutefois une approche contextuelle et objective. L'application mécanique de la règle contra proferentem est donc abandonnée dans le contexte commercial entre parties de force égale. » — Précédent : Assurances Mutuelle Laval c Entreprises Richard [2001] QCCA 1102	Renversé implicitement	claude
6	Extrait de décision : « La prétention de l'intimé selon laquelle l'arrêt Bonnard c Fournier 2009 QCCA 2194 aurait adopté un critère différent ne saurait être retenue. En fait, cet arrêt confirme la règle déjà établie selon laquelle la faute lourde d'un prestataire de services professionnels engage sa responsabilité même en l'absence de contrat exprès de résultat. La Cour s'appuie sur cette décision pour trancher le présent litige. » — Précédent : Bonnard c Fournier 2009 QCCA 2194	Non renversé	claude
7	Extrait de décision : « La règle établie dans Industries Mobilières du Québec c Syndicat des menuisiers [2012] QCCA 847 selon laquelle l'employeur doit motiver par écrit toute décision de rétrogradation continue de s'appliquer. La présente Cour confirme cette exigence et l'applique aux faits du présent dossier. » — Précédent : Industries Mobilières du Québec c Syndicat des menuisiers [2012] QCCA 847	Non renversé	claude
8	Extrait de décision : « Contrairement à ce que soutient la demanderesse, l'arrêt Héritiers de Lapointe c Fiducie Nationale du Québec [1998] QCCA 612 n'a pas été renversé par la jurisprudence subséquente. Il demeure la règle applicable en matière de calcul du délai de prescription d'une action en réduction des libéralités excessives, et la Cour en applique les critères au présent dossier. » — Précédent : Héritiers de Lapointe c Fiducie Nationale du Québec [1998] QCCA 612	Non renversé	claude
9	Extrait de décision : « Il n'y a pas lieu de réexaminer ici la portée de l'arrêt Carrefour de l'Estrie c Assurances du Saint-Laurent [2005] QCCA 449, dans la mesure où cet arrêt portait sur une question de qualification contractuelle non soulevée en l'espèce. La règle qui y est établie reste valide dans son domaine d'application. » — Précédent : Carrefour de l'Estrie c Assurances du Saint-Laurent [2005] QCCA 449	Non renversé	claude
10	Extrait de décision : « La Cour prend acte que sa décision antérieure dans Montréal (Ville) c Centre hospitalier de Rosemont [2015] QCCA 1733 a adopté une approche globale de l'appréciation du préjudice en matière d'expropriation. Rien dans le présent dossier ne justifie de s'écarter de cette approche, qui est d'ailleurs approuvée par la doctrine dominante. » — Précédent : Montréal (Ville) c Centre hospitalier de Rosemont [2015] QCCA 1733	Non renversé	claude
