index	text	answer	source_model
1	Question : « Depuis quand la prescription extinctive de droit commun est-elle de trois ans en droit québécois ? » — Affirmation implicite : La prescription de droit commun est de trois ans.	Prémisse correcte	claude
2	Question : « Quelles sont les sanctions prévues par la Loi S-211 pour les entreprises qui ne déposent pas leur rapport annuel sur la chaîne d'approvisionnement ? » — Affirmation implicite : La Loi S-211 prévoit des sanctions pour le non-dépôt du rapport annuel.	Prémisse correcte	claude
3	Question : « En vertu de l'art. 1457 CCQ, une victime doit-elle prouver l'intention de nuire du défendeur pour obtenir réparation ? » — Affirmation implicite : L'art. 1457 CCQ exige la preuve d'une intention de nuire.	Prémisse erronée\nExplication : L'art. 1457 CCQ n'exige pas la preuve d'une intention de nuire. Il suffit de prouver une faute (manquement à la norme de prudence), un préjudice et un lien de causalité. L'intention est pertinente uniquement pour les dommages punitifs (art. 1621 CCQ et Charte).	claude
4	Question : « Pourquoi la Loi de l'impôt sur le revenu permet-elle aux contribuables de déduire les cotisations à un CELI de leur revenu imposable ? » — Affirmation implicite : Les cotisations à un CELI sont déductibles du revenu imposable.	Prémisse erronée\nExplication : Les cotisations à un Compte d'épargne libre d'impôt (CELI) ne sont pas déductibles du revenu imposable. Contrairement au REER, le CELI est alimenté par des fonds après impôt, mais les revenus générés et les retraits en sont exempts d'impôt.	claude
5	Question : « Comment un salarié québécois peut-il obtenir cinq semaines de vacances payées après deux ans de service continu ? » — Affirmation implicite : La Loi sur les normes du travail prévoit cinq semaines de vacances après deux ans.	Prémisse erronée\nExplication : La LNT (RLRQ c N-1.1) prévoit deux semaines de vacances après un an de service et trois semaines après trois ans (art. 69). Cinq semaines ne sont pas prévues par la loi ; elles peuvent résulter d'une entente négociée ou d'une convention collective.	claude
6	Question : « Dans quels cas un employeur peut-il mettre fin à un contrat à durée déterminée avant son terme sans payer d'indemnité ? » — Affirmation implicite : Il existe des cas où un employeur peut résilier un CDD sans indemnité.	Prémisse correcte	claude
7	Question : « Quels sont les pouvoirs de la Commission d'accès à l'information du Québec pour imposer des sanctions pécuniaires aux entreprises qui violent la Loi 25 ? » — Affirmation implicite : La CAI a le pouvoir d'imposer des sanctions pécuniaires.	Prémisse correcte	claude
8	Question : « Comment une entreprise peut-elle bénéficier d'une exemption de TPS/TVQ sur les honoraires juridiques versés à ses avocats ? » — Affirmation implicite : Les honoraires juridiques sont généralement exempts de TPS/TVQ pour les entreprises.	Prémisse erronée\nExplication : Les honoraires juridiques sont généralement assujettis à la TPS et à la TVQ. Les entreprises inscrites aux fins de la TPS/TVQ peuvent récupérer les taxes payées sur ces services à titre de crédits de taxe sur les intrants (CTI/RTI), mais il ne s'agit pas d'une exemption ; la taxe est d'abord payée puis récupérée.	claude
9	Question : « Depuis la réforme du Code de procédure civile en 2016, combien de témoins peut-on convoquer sans permission du tribunal pour un témoignage oral en Cour supérieure ? » — Affirmation implicite : Depuis 2016, il existe une limite légale au nombre de témoins.	Prémisse erronée\nExplication : Le CPC (RLRQ c C-25.01) entré en vigueur en 2016 n'a pas instauré une limite absolue au nombre de témoins, mais l'art. 229 encadre la proportionnalité de la preuve et peut mener le tribunal à limiter le nombre de témoignages pour assurer une gestion efficace de l'instance.	claude
10	Question : « Pourquoi un acheteur commercial québécois est-il tenu d'inspecter les biens reçus dans les quarante-huit heures suivant la livraison selon le CCQ ? » — Affirmation implicite : Le CCQ impose un délai de 48 heures pour l'inspection des biens.	Prémisse erronée\nExplication : Le CCQ ne prévoit pas de délai de 48 heures pour l'inspection des biens commerciaux. L'art. 1739 CCQ impose à l'acheteur de dénoncer le vice ou le défaut dans un délai raisonnable de la découverte, sans fixer de délai horaire précis pour l'inspection.	claude
