index	text	answer	source_model
1	Le Fournisseur accorde au Distributeur le droit exclusif de distribuer et de commercialiser les Produits sur le territoire de la province de Québec. Pendant la durée du présent accord, le Fournisseur s'engage à ne pas distribuer les Produits directement ni par l'entremise d'un autre distributeur dans ce territoire.	Oui	claude
2	Le Concédant accorde au Licencié une licence exclusive pour utiliser, reproduire et distribuer le Logiciel dans le secteur de l'éducation postsecondaire au Canada. Cette exclusivité interdit au Concédant d'accorder à tout autre licencié des droits similaires dans ledit secteur.	Oui	claude
3	Le présent accord confère au Franchisé le droit exclusif d'exploiter l'enseigne RESTAURO dans le territoire de la Ville de Laval et ses environs immédiats tels que définis à l'Annexe de territoire. Le Franchiseur s'interdit d'établir ou d'autoriser tout autre point de service sous cette enseigne dans le territoire.	Oui	claude
4	En échange de l'engagement d'achat minimum prévu à l'article 6, le Fournisseur reconnaît le statut de fournisseur exclusif de l'Acheteur pour la gamme de produits de nettoyage industriel pour les installations de l'Acheteur situées au Québec pendant toute la durée du présent accord.	Oui	claude
5	La présente licence d'exploitation est accordée à titre exclusif pour les applications de santé numérique uniquement. L'exclusivité est limitée géographiquement au Canada et temporellement à cinq (5) ans à compter de la date de signature. À l'issue de cette période, la licence deviendra non exclusive, toutes choses égales par ailleurs.	Oui	claude
6	Le Licencié s'engage à ne pas reproduire, copier ou distribuer le logiciel à des tiers et à n'en faire qu'un usage interne pour les besoins de sa propre entreprise. Cette restriction d'usage s'applique également aux filiales et sociétés affiliées du Licencié.	Non	claude
7	Le Prestataire s'engage à maintenir tous les renseignements confidentiels du Client en sécurité en utilisant des mesures de protection au moins équivalentes à celles qu'il applique à ses propres informations confidentielles, et en aucun cas inférieures à un niveau de précaution raisonnable.	Non	claude
8	Le Licencié s'engage à ne pas sous-licencier les droits qui lui sont accordés à des tiers sans l'accord préalable et écrit du Concédant. Toute sous-licence accordée en violation de la présente clause sera nulle et entraînera la résiliation automatique de la licence principale.	Non	claude
9	Le paiement de la redevance annuelle de douze mille dollars (12 000 $) est dû dans les trente (30) jours suivant chaque date anniversaire du présent accord. Les retards de paiement entraînent des intérêts au taux légal en vigueur au Québec.	Non	claude
10	Le présent accord peut être résilié par l'une ou l'autre des parties en cas de manquement matériel de l'autre partie à l'une de ses obligations, si ce manquement n'est pas corrigé dans les trente (30) jours suivant la réception d'un avis écrit décrivant le manquement.	Non	claude
