index	text	answer	source_model
1	Nous collectons directement auprès de vous les renseignements personnels suivants : votre nom complet, votre adresse courriel, votre numéro de téléphone et votre adresse postale lors de votre inscription. Ces renseignements sont utilisés uniquement pour traiter vos commandes, vous informer du statut de vos livraisons et répondre à vos demandes de service à la clientèle.	Oui	claude
2	Les renseignements que vous nous fournissez directement — comme lors de la création de votre compte, du remplissage d'un formulaire ou d'une prise de contact avec notre équipe — sont utilisés pour vous offrir nos services, personnaliser votre expérience et vous envoyer des communications pertinentes auxquelles vous avez consenti. Nous ne les utilisons pas à d'autres fins sans votre consentement.	Oui	claude
3	Lors de votre utilisation de notre application mobile, nous recueillons directement les informations suivantes : vos données de géolocalisation (avec votre permission), votre historique de navigation dans l'application et vos préférences de paramétrage. Ces renseignements collectés en première main sont utilisés exclusivement pour vous fournir les fonctionnalités demandées et améliorer la qualité de notre service.	Oui	claude
4	Nous collectons vos renseignements personnels directement auprès de vous à différentes occasions : lors de votre inscription à notre infolettre, de votre participation à un concours, ou de votre utilisation de notre service de clavardage. Ces données sont utilisées pour vous envoyer les communications auxquelles vous vous êtes abonné, gérer votre participation aux concours et répondre à vos demandes en temps réel.	Oui	claude
5	Les renseignements personnels que vous soumettez directement via nos formulaires en ligne, notamment votre adresse courriel professionnelle et vos intérêts commerciaux, sont utilisés par nos équipes de vente et de marketing pour vous contacter au sujet de nos produits et services. Conformément à la LPRPDE, vous avez consenti à cet usage lors de votre inscription en cochant la case prévue à cet effet.	Oui	claude
6	Nous pouvons partager certains de vos renseignements personnels avec des tiers, notamment des prestataires de services d'analyse, des agences publicitaires et des partenaires commerciaux. Ces tiers peuvent utiliser vos données pour vous présenter des publicités ciblées sur nos sites partenaires. Tout partage est encadré par des ententes contractuelles appropriées.	Non	claude
7	Vous disposez du droit de vous opposer à la communication de vos renseignements personnels à des fins commerciales. Pour exercer ce droit, il vous suffit de nous envoyer un courriel à l'adresse indiquée ci-dessous en précisant votre nom et votre adresse courriel enregistrée dans notre système. Nous donnerons suite à votre demande dans un délai de dix (10) jours ouvrables.	Non	claude
8	Nos politiques de conservation prévoient que vos données personnelles sont supprimées trois (3) ans après la clôture de votre compte. Pendant cette période, vos données peuvent être utilisées à des fins d'analyse interne dans leur forme pseudonymisée. Après ce délai, elles sont irrémédiablement détruites conformément à nos procédures de suppression sécuritaire.	Non	claude
9	La présente politique de confidentialité s'adresse exclusivement aux personnes âgées de treize (13) ans et plus résidant au Canada. Notre plateforme n'est pas destinée aux enfants de moins de treize (13) ans et nous ne collectons pas sciemment de renseignements personnels auprès d'enfants de cette tranche d'âge. Si nous apprenons qu'un enfant nous a fourni des renseignements, nous procédons à leur suppression immédiate.	Non	claude
10	Nos serveurs sont protégés par des mesures de sécurité de pointe, notamment le chiffrement des données en transit via SSL/TLS, la surveillance continue du réseau et l'authentification multifacteur pour tous les accès administrateurs. Nous réalisons des tests de pénétration semestriels pour identifier et corriger toute vulnérabilité de sécurité.	Non	claude
