index	text	answer	source_model
1	Le 5 mars, une entreprise envoie un courriel proposant la vente de 500 chaises de bureau à 80 $ l'unité, offre valable jusqu'au 12 mars. Le 10 mars, l'acheteur répond par courriel en acceptant les termes sans modification. Les deux parties sont des personnes morales ayant la capacité de contracter.	Oui	claude
2	Un entrepreneur soumet une soumission écrite pour la rénovation d'une cuisine à 45 000 $, valide pour trente jours. Le propriétaire signe la soumission dans le délai imparti et la retourne par courriel. L'entrepreneur confirme la réception de l'acceptation. Tous deux sont majeurs et capables.	Oui	claude
3	Un fournisseur de services informatiques et une PME négocient par échange de courriels. Le 15 janvier, le fournisseur envoie une proposition détaillée pour un contrat de maintenance annuel. Le 20 janvier, la PME répond : "Nous acceptons votre proposition telle quelle, veuillez nous faire parvenir le contrat formel."	Oui	claude
4	Un propriétaire met en vente son immeuble à 850 000 $. Un acheteur potentiel fait une offre d'achat à 820 000 $ que le vendeur refuse. L'acheteur revient deux jours plus tard en disant vouloir acheter au prix demandé de 850 000 $. Le vendeur a entretemps accepté une autre offre et n'est plus intéressé.	Non	claude
5	Une personne de 16 ans signe seule un contrat de service d'abonnement mensuel à un logiciel spécialisé d'une valeur de 500 $ par mois, sans l'autorisation de son représentant légal. Le contrat porte sur un service non nécessaire à ses besoins ordinaires.	Non	claude
6	Une offre de vente d'un appartement est formulée verbalement lors d'une conversation informelle entre voisins. L'autre voisin dit "ça m'intéresse" mais aucune modalité (prix, date) n'est convenue. Les deux semblent d'accord en principe mais rien de précis n'est arrêté.	Non	claude
7	Un contrat de service entre une agence et un client contient une clause obligeant le client à s'abstenir de toute activité légale de son choix dans tout domaine commercial pour une durée illimitée. L'objet de cette clause est manifestement contraire à l'ordre public.	Non	claude
8	Un acheteur envoie une offre d'achat pour un véhicule d'occasion à 22 000 $. Le vendeur répond par écrit : "J'accepte, mais seulement à 23 500 $." L'acheteur n'a pas encore répondu à cette contre-offre.	Non	claude
9	Deux entreprises s'entendent pour fournir des services de transport de marchandises illicites (substances contrôlées) contre rémunération. Elles formalisent cet accord par un contrat écrit signé par les deux parties ayant la pleine capacité juridique.	Non	claude
10	Une offre est envoyée par courriel et indique explicitement : "Cette offre expire le 1er mars à minuit." L'acceptation est transmise par courriel le 2 mars à 9 h. L'offrant n'a pas prorogé le délai.	Non	claude
