index	text	answer	source_model
1	Nous privilégions les audits non annoncés réalisés par des tierces parties indépendantes selon la méthodologie SMETA quatre piliers, qui couvre les droits du travail, la santé et la sécurité, l'environnement et les pratiques commerciales éthiques. Chaque fournisseur de premier rang est audité au minimum tous les deux ans, et les résultats font l'objet de plans d'action correctifs assortis de délais contraignants.	Oui	claude
2	Notre approche d'audit de la chaîne d'approvisionnement repose sur une évaluation préalable des risques fondée sur le secteur, la géographie et l'historique de conformité du fournisseur. Les fournisseurs présentant un profil de risque élevé font l'objet d'audits annuels non annoncés ; ceux à risque modéré sont audités tous les deux ans. Nous considérons les audits non annoncés comme la meilleure pratique car ils offrent un tableau plus fidèle des conditions réelles.	Oui	claude
3	En matière d'audit, nous recommandons une approche par strates : vérification documentaire mensuelle des registres de paie, audit sur site semestriel pour les fournisseurs à risque élevé, et audit de suivi dans les quatre-vingt-dix (90) jours suivant toute non-conformité majeure. Cette approche, conforme aux meilleures pratiques de l'industrie mondiale du vêtement, permet d'identifier et de corriger les infractions de manière proactive.	Oui	claude
4	Nous croyons que l'audit seul ne suffit pas pour éradiquer le travail forcé ; il doit s'inscrire dans une démarche de renforcement des capacités. Nos audits incluent donc systématiquement un volet d'accompagnement destiné à aider les fournisseurs à comprendre les lacunes identifiées et à mettre en œuvre des améliorations durables. Nous partageons les meilleures pratiques identifiées lors des audits avec l'ensemble de notre réseau de fournisseurs.	Oui	claude
5	Notre programme d'audit prévoit des entretiens individuels et confidentiels avec des travailleurs sélectionnés aléatoirement, menés dans leur langue maternelle par des auditeurs formés. Ces entretiens permettent de recueillir des informations que les registres d'entreprise ne révèlent pas. Nous considérons cette pratique indispensable pour détecter les situations de coercition ou de retenue de salaires dissimulées.	Oui	claude
6	Notre comité d'éthique de la chaîne d'approvisionnement se réunit trimestriellement pour examiner les risques émergents en matière de travail forcé dans nos secteurs d'activité. Ce comité, présidé par le vice-président exécutif des opérations, est chargé d'approuver les politiques d'approvisionnement responsable et de rendre compte de leur application au conseil d'administration.	Non	claude
7	Nous exigeons de nos fournisseurs qu'ils transmettent annuellement une attestation signée confirmant leur conformité à notre Code de conduite. Cette autodéclaration est complétée par une analyse documentaire de leurs systèmes de gestion du travail. Les fournisseurs qui ne soumettent pas leur attestation dans les délais requis sont placés sous surveillance renforcée.	Non	claude
8	Conformément à la Loi S-211, nous avons mis en place un programme de formation destiné aux équipes d'approvisionnement et de gestion des fournisseurs. Ce programme comprend un module d'introduction aux risques de travail forcé et un module avancé sur la diligence raisonnable, dispensés respectivement aux nouveaux employés et aux acheteurs chevronnés.	Non	claude
9	Nos fournisseurs de matières premières dans les régions à risque élevé doivent obtenir la certification Rainforest Alliance ou une certification équivalente reconnue dans leur secteur. Nous considérons ces certifications comme un outil complémentaire à nos propres processus de diligence raisonnable, sans toutefois s'y substituer.	Non	claude
10	Nous procédons à une vérification indépendante des informations publiées dans le cadre de notre rapport sur les chaînes d'approvisionnement afin de garantir l'exactitude et la fiabilité des données. Cette vérification est confiée à un cabinet d'experts comptables qui émet une opinion sur la conformité de notre déclaration avec les exigences de la Loi S-211.	Non	claude
