index	text	answer	source_model
1	Un e-commerçant ontarien vend activement des produits au Québec via un site en français, livre des biens à des acheteurs québécois, a un entrepôt à Laval et emploie deux représentants commerciaux résidant au Québec. Un client québécois le poursuit pour vice caché.	Compétence établie	claude
2	Une entreprise new-yorkaise a signé au Québec un contrat de services avec une PME québécoise, stipulant que le siège des activités contractuelles est à Montréal. Le litige porte sur l'inexécution de ce contrat dont toutes les prestations devaient être fournies au Québec.	Compétence établie	claude
3	Un défendeur domicilié en France a commis une faute extracontractuelle en France à l'encontre d'une victime domiciliée au Québec, qui a subi son préjudice en France. Le seul lien avec le Québec est le domicile de la victime.	Compétence douteuse	claude
4	Une société panaméenne exploite un site Web en anglais qui accepte passivement des commandes de partout dans le monde. Un consommateur québécois a passé une seule commande de 200 $ et cherche à poursuivre la société au Québec pour publicité mensongère.	Compétence douteuse	claude
5	Un fournisseur étranger a vendu des marchandises à un acheteur québécois selon des modalités FOB au port d'expédition à l'étranger. Le contrat prévoit expressément la compétence exclusive des tribunaux du pays du vendeur pour tout litige.	Compétence douteuse	claude
6	Un défendeur domicilié en Colombie-Britannique n'a jamais eu de contact avec le Québec, n'y a jamais fait affaire et n'y a aucun actif. Il est poursuivi au Québec par une entreprise québécoise pour une obligation contractuelle dont l'exécution était prévue exclusivement en Colombie-Britannique.	Absence de compétence	claude
7	Un touriste suisse a été victime d'un accident de voiture dans les Alpes lors d'un voyage en Suisse organisé par une agence basée en Suisse. Il tente de poursuivre le chauffeur suisse devant les tribunaux québécois pour le seul motif que le touriste est domicilié au Québec.	Absence de compétence	claude
8	Une société de développement de logiciels domiciliée à Bangalore, Inde, n'ayant aucun bureau, employé ni actif au Canada, est poursuivie au Québec par un investisseur québécois pour une fraude alléguée commise lors d'une levée de fonds réalisée entièrement en ligne auprès d'investisseurs mondiaux, sans aucune activité de démarchage spécifique au Québec.	Absence de compétence	claude
9	Un défendeur britannique a participé à une conférence à Montréal au cours de laquelle il a conclu une entente verbale avec le demandeur québécois. L'entente prévoyait la livraison de services à Montréal. Le demandeur prétend que le défendeur n'a pas respecté ses engagements.	Compétence établie	claude
10	Une société des Îles Caïmans n'opère qu'à partir d'une boîte postale et n'a aucune présence au Canada. Un Québécois prétend avoir été victime d'une fraude par courriel orchestrée par cette société. Les fonds escroqués provenaient d'un compte bancaire québécois.	Compétence douteuse	claude
