index	text	answer	source_model
1	Clause : « Les obligations du présent accord ne s'appliquent pas aux informations que le Bénéficiaire développe ou acquiert de manière indépendante, sans recourir aux informations confidentielles du Divulgateur et sans violer les présentes obligations. » — Affirmation : Le Bénéficiaire peut légitimement acquérir des informations similaires par ses propres moyens sans contrevenir à l'accord.	Vrai	claude
2	Clause : « Les restrictions du présent accord ne s'appliquent pas aux informations que le Bénéficiaire peut démontrer : (i) avoir développées de manière indépendante avant toute divulgation par le Divulgateur ; ou (ii) avoir obtenues légitimement auprès de tiers non tenus à des obligations de confidentialité envers le Divulgateur. » — Affirmation : Une information identique acquise d'une source tierce non liée par un accord de confidentialité n'est pas soumise aux obligations du présent accord.	Vrai	claude
3	Clause : « Le Bénéficiaire demeure libre de mener ses propres recherches et d'acquérir des informations dans le domaine concerné par le présent accord, pourvu que ce faisant il n'utilise pas les informations confidentielles du Divulgateur et qu'il ne viole aucune disposition des présentes. » — Affirmation : L'accord ne restreint pas le Bénéficiaire dans l'acquisition de connaissances similaires par des voies indépendantes.	Vrai	claude
4	Clause : « La clause de confidentialité ne couvre pas les informations qui étaient déjà connues du Bénéficiaire au moment de la divulgation, telles qu'en témoigne une documentation préexistante, ni les informations disponibles dans le domaine public sans faute du Bénéficiaire. » — Affirmation : Si le Bénéficiaire possédait déjà les informations avant la divulgation, il n'est pas lié par les obligations de confidentialité à leur égard.	Vrai	claude
5	Clause : « Aucune disposition du présent accord n'interdit au Bénéficiaire d'acquérir, d'utiliser ou de développer des informations similaires ou équivalentes provenant de sources autres que le Divulgateur, à condition qu'une telle acquisition se fasse sans recours aux informations confidentielles divulguées. » — Affirmation : Le Bénéficiaire peut acquérir auprès de concurrents du Divulgateur des informations identiques à celles divulguées, sans violer l'accord.	Vrai	claude
6	Clause : « Le Bénéficiaire s'engage à n'utiliser les informations confidentielles qu'aux seules fins prévues au présent accord et à ne pas les utiliser pour acquérir ou développer des informations ou produits similaires concurrençant ceux du Divulgateur. » — Affirmation : Le Bénéficiaire peut librement acquérir des informations similaires par ses propres moyens indépendants.	Faux	claude
7	Clause : « Toutes les informations divulguées par le Divulgateur, ainsi que toute information de nature similaire acquise par le Bénéficiaire durant la période de l'accord, sont présumées confidentielles. » — Affirmation : L'accord autorise l'acquisition indépendante d'informations semblables à celles divulguées par le Divulgateur.	Faux	claude
8	Clause : « Le Bénéficiaire s'engage à ne pas utiliser les informations confidentielles pour obtenir un avantage concurrentiel ou pour acquérir des informations, technologies ou procédés comparables à ceux du Divulgateur. » — Affirmation : L'accord ne s'oppose pas à ce que le Bénéficiaire obtienne des informations similaires par des voies indépendantes légitimes.	Faux	claude
9	Clause : « Les obligations de confidentialité s'appliquent à toutes les informations reçues du Divulgateur, ainsi qu'à tout renseignement de nature similaire que le Bénéficiaire pourrait acquérir dans le cadre de ses activités commerciales avec des partenaires du Divulgateur. » — Affirmation : Le Bénéficiaire peut obtenir des informations identiques auprès d'une source indépendante sans que cela constitue une violation de l'accord.	Faux	claude
10	Clause : « Le Bénéficiaire s'engage à ne pas chercher à obtenir, directement ou indirectement, des informations équivalentes à celles qui lui ont été divulguées par le Divulgateur dans le cadre du présent accord. » — Affirmation : L'accord autorise implicitement le Bénéficiaire à acquérir des informations similaires par ses propres recherches.	Faux	claude
