index	text	answer	source_model
1	En contrepartie des considérations prévues aux présentes, chaque partie accorde à l'autre un engagement irrévocable de ne pas intenter de poursuites judiciaires, d'arbitrage ou d'autres procédures légales concernant toute réclamation existante ou future liée à la propriété intellectuelle visée par le présent accord.	Oui	claude
2	Le Concédant s'engage irrévocablement à ne pas intenter de poursuites contre le Licencié pour toute violation alléguée des droits de brevet listés à l'Annexe A, à condition que le Licencié respecte les conditions du présent accord et continue de payer les redevances dues.	Oui	claude
3	À titre de règlement définitif du différend commercial décrit en préambule, les parties renoncent mutuellement et irrévocablement à toute réclamation, poursuite, action ou procédure de quelque nature que ce soit, présente ou future, découlant de leur relation contractuelle antérieure.	Oui	claude
4	Le Titulaire accorde au Bénéficiaire un engagement de ne pas poursuivre (covenant not to sue) couvrant tous les brevets, marques et droits d'auteur détenus par le Titulaire à la date de signature, pour les activités spécifiquement autorisées par le présent accord.	Oui	claude
5	Dans le cadre du règlement global de tous les litiges en cours, la Société A s'engage envers la Société B à ne pas intenter de nouvelles poursuites pour quelque motif que ce soit lié aux matières réglées par le présent accord, et à retirer toutes les procédures judiciaires actuellement pendantes.	Oui	claude
6	Les parties s'engagent à soumettre tout différend découlant du présent accord à un processus de médiation confidentielle avant d'entreprendre toute procédure judiciaire ou arbitrale.	Non	claude
7	En cas de litige, les parties conviennent de soumettre leur différend à l'arbitrage selon les règles de l'ADR Institute du Canada, et renoncent à tout recours judiciaire ordinaire, sous réserve des recours en injonction d'urgence.	Non	claude
8	Les parties renoncent au droit de jury dans le cadre de toute procédure judiciaire découlant du présent accord et consentent à être jugées par un juge seul.	Non	claude
9	Toute réclamation découlant du présent accord doit être présentée dans un délai d'un (1) an à compter de la survenance de l'événement générateur, sous peine de forclusion.	Non	claude
10	Les parties conviennent que les décisions arbitrales rendues conformément au présent accord seront définitives et exécutoires, et pourront être homologuées par tout tribunal compétent.	Non	claude
