index	text	answer	source_model
1	Nous conservons vos renseignements personnels pendant la durée nécessaire à l'accomplissement des finalités pour lesquelles ils ont été collectés, soit généralement une période de cinq (5) ans à compter de la fin de votre relation avec nous. À l'expiration de ce délai, vos données sont supprimées de manière sécuritaire ou anonymisées conformément aux exigences de la Loi 25.	Oui	claude
2	Vos renseignements personnels sont conservés aussi longtemps que votre compte est actif ou que nécessaire pour vous fournir nos services. Une fois votre compte fermé, nous procédons à la suppression automatique de vos données personnelles dans un délai de quatre-vingt-dix (90) jours, sauf si leur conservation est requise par une obligation légale ou réglementaire.	Oui	claude
3	Notre politique de conservation des données distingue trois catégories : (1) les données de transaction, conservées sept ans conformément à la Loi sur les archives ; (2) les données de navigation, effacées après trente jours ; (3) les données de profil, conservées pendant toute la durée de la relation contractuelle plus douze mois. Passé ces délais, vos données sont irrémédiablement supprimées de nos systèmes actifs et de sauvegarde.	Oui	claude
4	Conformément à la Loi 25 (RLRQ, c. P-39.1), nous avons établi un calendrier de conservation documenté et accessible. Les renseignements liés à vos achats sont archivés pendant six ans pour répondre à nos obligations fiscales. Les données relatives à votre profil de préférences sont supprimées automatiquement deux ans après votre dernière interaction avec notre plateforme.	Oui	claude
5	Nous ne conservons vos renseignements personnels que pour la durée strictement nécessaire aux fins indiquées dans la présente politique. À l'expiration des délais de conservation applicables, nous détruisons, effaçons ou anonymisons les renseignements personnels selon des procédures sécuritaires approuvées par notre responsable de la protection des renseignements personnels.	Oui	claude
6	Nous recueillons vos renseignements personnels, notamment votre nom, votre adresse courriel, votre numéro de téléphone et votre adresse postale, afin de vous fournir nos services et de communiquer avec vous. Ces informations nous permettent de personnaliser votre expérience et d'améliorer nos offres. Nous nous engageons à utiliser ces renseignements uniquement aux fins pour lesquelles ils ont été collectés.	Non	claude
7	Nous prenons la sécurité de vos renseignements personnels très au sérieux. Nous mettons en place des mesures techniques et administratives appropriées pour protéger vos données contre tout accès non autorisé, toute divulgation, toute altération ou toute destruction. Ces mesures comprennent le chiffrement des données sensibles et des contrôles d'accès stricts.	Non	claude
8	Vous avez le droit d'accéder aux renseignements personnels que nous détenons à votre sujet et d'en demander la rectification si ceux-ci sont inexacts ou incomplets. Pour exercer ces droits, veuillez communiquer avec notre responsable de la protection des renseignements personnels à l'adresse indiquée ci-dessous. Nous répondrons à votre demande dans les délais prévus par la loi.	Non	claude
9	Nous pouvons partager vos renseignements personnels avec des tiers fournisseurs de services qui nous aident à exploiter notre site Web et à mener nos activités. Ces tiers sont contractuellement tenus de protéger vos renseignements et de ne les utiliser qu'aux fins pour lesquelles ils nous ont été divulgués. Nous n'autorisons pas ces prestataires à utiliser ou à divulguer vos renseignements à leurs propres fins.	Non	claude
10	La présente politique de confidentialité peut être mise à jour périodiquement pour refléter les modifications apportées à nos pratiques ou aux lois applicables. En cas de modification importante, nous vous en informerons par courriel ou par un avis bien visible sur notre site Web avant que la modification n'entre en vigueur. Nous vous encourageons à consulter régulièrement cette politique.	Non	claude
