index	text	answer	source_model
1	Le Prestataire doit, à ses frais, souscrire et maintenir en vigueur pendant toute la durée du présent accord les polices d'assurance suivantes : (i) responsabilité civile générale, avec une limite de deux millions de dollars (2 000 000 $) par sinistre; (ii) assurance fautes et omissions professionnelles, avec une limite d'un million de dollars (1 000 000 $); et (iii) assurance des biens couvrant tous les équipements utilisés dans le cadre du présent accord.	Oui	claude
2	Le Fournisseur s'engage à maintenir une assurance responsabilité civile des entreprises d'un montant minimal de cinq millions de dollars (5 000 000 $) et à fournir au Client, sur demande, une copie du certificat d'assurance attestant de cette couverture. Le Client doit être désigné à titre d'assuré additionnel sur cette police.	Oui	claude
3	En tant que prestataire de services de garde d'enfants, l'Opérateur doit maintenir en tout temps une police d'assurance responsabilité civile d'au moins deux millions de dollars (2 000 000 $) par sinistre, spécifiquement adaptée aux activités de garde de mineurs, et en fournir la preuve au Donneur de licence à chaque renouvellement.	Oui	claude
4	Avant le début des travaux, l'Entrepreneur doit fournir au Propriétaire une preuve d'assurance responsabilité civile (minimum 3 000 000 $), une assurance accidents du travail (conformément à la CNESST) et une assurance cautionnement couvrant la bonne exécution des travaux.	Oui	claude
5	Les transporteurs désignés par le Distributeur doivent disposer d'une assurance marchandises transportées d'au moins cent mille dollars (100 000 $) par envoi. Le Distributeur est responsable de s'assurer que ses sous-traitants respectent cette exigence et d'en fournir la preuve sur demande.	Oui	claude
6	Le Licencié s'engage à n'utiliser le Logiciel qu'à des fins légales et à s'abstenir de l'utiliser d'une manière qui pourrait porter atteinte aux droits de tiers ou violer les lois applicables, y compris les lois sur la protection des données personnelles.	Non	claude
7	Le Fournisseur garantit que les produits livrés seront exempts de défauts de fabrication pour une période de douze (12) mois à compter de la date de livraison, et s'engage à remplacer ou à réparer, à son choix, tout produit défectueux présenté pendant cette période.	Non	claude
8	Le Client s'engage à maintenir la confidentialité de ses identifiants d'accès à la plateforme et à aviser le Prestataire immédiatement en cas d'utilisation non autorisée ou de compromission de ses identifiants.	Non	claude
9	Les parties s'engagent à collaborer de bonne foi à la résolution de tout différend technique survenant dans le cadre du présent accord avant de recourir à des procédures formelles de résolution des litiges.	Non	claude
10	L'Acheteur doit inspecter les marchandises à leur réception et signaler tout dommage apparent par écrit dans les quarante-huit (48) heures suivant la livraison. L'absence de signalement dans ce délai vaut acceptation des marchandises en bon état.	Non	claude
