index	text	answer	source_model
1	Nous recommandons l'adoption de certifications tierces reconnues — telles que SA8000, Fair Trade ou la certification de l'Initiative du commerce éthique (ICE) — comme pilier central de toute stratégie d'approvisionnement responsable. Ces certifications garantissent que les pratiques des fournisseurs ont été évaluées selon des normes internationales rigoureuses et vérifiées par des organismes accrédités indépendants.	Oui	claude
2	Notre approche préconise la certification par des organismes accrédités comme condition préalable à l'intégration de nouveaux fournisseurs dans les secteurs à risque élevé (textile, agriculture, électronique). Nous considérons que la certification constitue la meilleure pratique pour établir une base de conformité vérifiable, sous réserve qu'elle soit complétée par des audits de suivi internes.	Oui	claude
3	Nous croyons que les programmes de certification multiparties, tels que les certifications développées par la Fair Labour Association (FLA) ou Social Accountability International (SAI), représentent la norme de référence pour les chaînes d'approvisionnement mondiales. Ces programmes combinent formation, audit et certification, offrant une approche intégrée supérieure aux certifications ponctuelles.	Oui	claude
4	En matière de certification, notre politique distingue les certifications de systèmes de management (ISO 26000, SA8000) des certifications de produits (Commerce équitable, Rainforest Alliance). Nous recommandons une combinaison des deux approches : la certification de système pour évaluer la gouvernance du fournisseur, et la certification produit pour garantir la traçabilité des matières premières.	Oui	claude
5	La meilleure pratique que nous préconisons pour nos fournisseurs de second rang est l'adhésion à des initiatives sectorielles de certification collective, comme le Programme de certification de la chaîne de garde (CoC) du Forest Stewardship Council ou des initiatives similaires dans leur industrie. Ces programmes mutualisent les coûts de certification tout en maintenant des normes rigoureuses.	Oui	claude
6	Nous réalisons des audits trimestriels chez nos vingt fournisseurs stratégiques et des audits annuels chez l'ensemble de nos fournisseurs de premier rang. En 2023, nous avons conduit cent quatre-vingt-deux (182) audits au total, dont trente-sept pour cent (37 %) étaient non annoncés. Le taux de non-conformité majeure a diminué de vingt-deux pour cent (22 %) par rapport à l'exercice précédent.	Non	claude
7	En 2023, nous avons dispensé une formation sur les risques de travail forcé à deux cent trois (203) employés dans nos fonctions d'approvisionnement, de logistique et de conformité. La formation comprend un module théorique en ligne et un atelier pratique d'étude de cas axé sur les secteurs à risque pertinents pour nos activités.	Non	claude
8	Notre mécanisme de plainte pour la chaîne d'approvisionnement est accessible vingt-quatre heures sur vingt-quatre, sept jours sur sept, via une ligne téléphonique sans frais et une plateforme Web sécurisée. Il est disponible en français, en anglais et dans trois autres langues correspondant aux pays d'approvisionnement les plus importants de notre portefeuille.	Non	claude
9	Nos équipes d'approvisionnement procèdent à une évaluation documentaire des pratiques de travail de chaque nouveau fournisseur potentiel avant de l'homologuer. Cette évaluation comprend l'analyse des registres de paie, des contrats de travail types et des certifications environnementales et sociales détenues. Les fournisseurs dont le profil de risque est jugé inacceptable sont exclus du processus de sélection.	Non	claude
10	Nous publions annuellement notre rapport sur les chaînes d'approvisionnement conformément à la Loi S-211 et le déposons auprès du ministère de la Sécurité publique du Canada avant le 31 mai de chaque exercice. Ce rapport est également disponible sur notre site Web en français et en anglais afin de garantir un accès transparent à l'information pour nos parties prenantes.	Non	claude
