index	text	answer	source_model
1	J'ai glissé sur une plaque de glace devant un commerce en hiver et je me suis cassé la cheville. Le commerce n'avait pas salé ni déneigé le trottoir devant son établissement depuis plusieurs jours. Puis-je poursuivre le propriétaire du commerce ?	Oui	claude
2	Un chien de mon voisin m'a mordu gravement au bras lors d'une sortie dans la rue. Le propriétaire dit que c'était un accident et que le chien n'avait jamais mordu auparavant. Suis-je en droit de réclamer des dommages-intérêts ?	Oui	claude
3	Un journaliste a publié un article contenant des affirmations fausses sur ma réputation professionnelle. Ces faussetés m'ont coûté plusieurs contrats. Je veux poursuivre pour diffamation et perte de revenus. Quels sont mes recours ?	Oui	claude
4	Mon voisin a installé une clôture qui empiète de 30 cm sur mon terrain. Il refuse de la déplacer. J'ai fait faire un certificat de localisation qui le confirme. Puis-je obtenir une injonction pour la faire déplacer et des dommages pour les frais engagés ?	Oui	claude
5	Un électricien que j'avais engagé pour des rénovations a fait un travail défectueux qui a causé un incendie dans ma maison. Les dommages s'élèvent à 45 000 $. Son assurance responsabilité refuse de couvrir en alléguant une exclusion. Quels sont mes recours ?	Oui	claude
6	Mon employeur m'a licencié après avoir appris que j'avais une déficience auditive, sans jamais essayer de m'accommoder. Je n'avais jamais eu de problèmes de rendement. Comment porter plainte pour discrimination fondée sur un handicap ?	Non	claude
7	Mon locataire ne paie plus son loyer depuis 3 mois et refuse de quitter les lieux. J'ai besoin de l'appartement pour y loger ma fille qui revient d'études. Quelle est la procédure pour obtenir son éviction ?	Non	claude
8	Mon mari est décédé dans un accident de voiture. Il n'avait pas de testament. Nous avions trois enfants mineurs. Quels sont nos droits successoraux et comment accéder aux comptes bancaires rapidement ?	Non	claude
9	J'ai signé un bail commercial de 5 ans. Mon propriétaire veut maintenant transformer l'immeuble en condominiums résidentiels et veut me forcer à partir avant la fin de mon bail. A-t-il le droit de le faire ?	Non	claude
10	Mon conjoint de fait est décédé et nous n'étions pas mariés. Sa famille veut tout hériter et ne reconnaît pas mes droits. Nous vivions ensemble depuis 11 ans. Ai-je des droits successoraux en tant que conjoint de fait au Québec ?	Non	claude
