index	text	answer	source_model
1	Une entreprise québécoise vend des équipements industriels à une autre entreprise québécoise. Le contrat est rédigé en français, signé à Montréal, et les livraisons se font à l'usine de l'acheteur à Laval. Aucun choix de loi explicite n'est prévu.	Droit civil québécois (CCQ)	claude
2	Une PME montréalaise conclut un contrat de distribution avec un distributeur torontois pour la revente de produits au Québec uniquement. Le contrat prévoit que la propriété des biens est transférée à la livraison à Montréal. Le contrat ne comporte aucune clause de choix de loi.	Droit civil québécois (CCQ)	claude
3	Un fabricant de pièces automobiles basé en Alberta vend des composantes à une usine de montage en Ontario. Le contrat est négocié et signé à Toronto, les pièces sont fabriquées et expédiées depuis Edmonton. Le contrat stipule "governed by the laws of Ontario". Aucun lien avec le Québec.	Common law canadienne	claude
4	Une société basée à Vancouver fournit des services de technologie à une entreprise de la Colombie-Britannique. Le contrat est en anglais, régi par les lois de la Colombie-Britannique selon une clause explicite, et toutes les prestations sont fournies en Colombie-Britannique.	Common law canadienne	claude
5	Un commerçant ontarien achète des marchandises à un fournisseur québécois. Le contrat de vente est signé à Ottawa par les deux parties. La livraison est prévue à Kingston, Ontario. Aucune clause de choix de loi.	Common law canadienne	claude
6	Une société québécoise conclut un contrat de licence de technologie avec une société britannique-colombienne. La technologie sera utilisée tant au Québec qu'en Colombie-Britannique. Le contrat est silencieux quant au droit applicable.	Les deux (conflit de lois)	claude
7	Un constructeur d'immeuble québécois sous-traite des travaux à un sous-traitant ontarien. Les travaux sont effectués sur un chantier à Montréal, mais le contrat de sous-traitance a été négocié et conclu à Toronto. Une clause désigne les lois de l'Ontario comme droit applicable.	Les deux (conflit de lois)	claude
8	Une entreprise basée au Québec vend des marchandises à un acheteur albertain. La livraison est effectuée à Calgary. Un litige éclate concernant un vice de la marchandise. Le contrat ne prévoit aucun choix de loi mais les parties ont des établissements dans leurs provinces respectives.	Les deux (conflit de lois)	claude
9	Un développeur de logiciels québécois conclut un contrat de services informatiques avec un client basé à Toronto. Les services sont fournis à distance depuis Québec, mais le client utilise les logiciels développés uniquement en Ontario. Le contrat ne précise pas le droit applicable.	Les deux (conflit de lois)	claude
10	Une société québécoise de commerce en ligne vend des produits à des consommateurs répartis dans toutes les provinces canadiennes. Les commandes sont traitées depuis Montréal. Le contrat d'utilisation prévoit que les lois du Québec s'appliquent. Un acheteur albertain conteste cette clause.	Les deux (conflit de lois)	claude
