index	text	answer	source_model
1	Le Concédant accorde au Preneur une licence non exclusive d'utilisation du Logiciel, y compris pour toutes les filiales et sociétés affiliées du Preneur, soit toute entité dans laquelle le Preneur détient directement ou indirectement plus de cinquante pour cent (50 %) des droits de vote ou du capital-actions. Les affiliées ainsi désignées peuvent utiliser le Logiciel aux fins des activités normales de leur entreprise, sans avoir à obtenir un consentement supplémentaire du Concédant.	Oui	claude
2	Le Franchiseur accorde au Franchisé le droit d'exploiter le réseau de franchise sous l'enseigne protégée dans le territoire délimité à l'Annexe A. Ce droit d'exploitation s'étend aux entités corporatives que le Franchisé contrôle à plus de cinquante pour cent (50 %) et qui exercent leurs activités exclusivement dans ledit territoire, sous réserve que le Franchiseur soit informé par écrit dans un délai de trente (30) jours de tout changement dans la structure de contrôle de ces entités.	Oui	claude
3	La présente licence d'utilisation de la marque de commerce LEXIOR est accordée au Licencié et à toutes les sociétés qui lui sont liées au sens de l'article 50 de la Loi sur les marques de commerce, incluant les sociétés mères, filiales et sociétés sœurs sous contrôle commun. Le Licencié demeure solidairement responsable de l'utilisation de la marque par lesdites sociétés liées et s'engage à faire respecter par celles-ci les normes de qualité définies à l'Annexe B.	Oui	claude
4	Le Distributeur est autorisé à distribuer les Produits dans les territoires identifiés à l'Annexe C. Cette autorisation s'applique également aux sociétés affiliées du Distributeur opérant dans ces territoires, à condition que chaque affiliée soit préalablement enregistrée auprès du Fournisseur et signe un avenant au présent contrat de distribution confirmant son engagement à respecter les conditions de prix et de service applicables.	Oui	claude
5	Le Client et ses filiales, entités contrôlées et sociétés affiliées (collectivement, le « Groupe Client ») bénéficient du droit d'accès aux Services en ligne décrits à l'Annexe de services. Le Prestataire accordera des identifiants d'accès distincts à chaque membre du Groupe Client qui en fait la demande par écrit, sans frais supplémentaires au-delà du tarif forfaitaire annuel prévu à l'article 8.2.	Oui	claude
6	Le Preneur s'engage à traiter comme strictement confidentiels tous les renseignements commerciaux, techniques et financiers du Concédant auxquels il a accès dans le cadre du présent accord, et à n'en divulguer le contenu qu'aux membres de son personnel qui en ont strictement besoin pour les fins du présent contrat. Le Preneur peut communiquer ces renseignements à ses sociétés affiliées à condition que celles-ci soient préalablement liées par des obligations de confidentialité équivalentes.	Non	claude
7	En cas de changement de contrôle du Preneur, notamment par voie de fusion, acquisition ou vente de la majorité des actions avec droit de vote, le Concédant peut résilier le présent accord sur avis écrit de trente (30) jours si le successeur ou l'entité acquéreuse est un concurrent direct du Concédant. Le droit de résiliation s'applique également lorsque le contrôle est transféré à une société affiliée qui exerce des activités concurrentielles similaires.	Non	claude
8	Le Prestataire conserve l'entière propriété de tous les droits de propriété intellectuelle relatifs aux livrables créés en exécution du présent contrat, y compris les droits d'auteur, les brevets et les secrets commerciaux, sauf disposition expresse contraire stipulée à l'Annexe PI. Le Client n'acquiert qu'un droit d'utilisation limité et non transférable des livrables, qui ne peut être cédé ni sous-licencié à quelque tiers que ce soit, y compris les sociétés affiliées du Client.	Non	claude
9	Pendant la durée du présent contrat et pour une période de vingt-quatre (24) mois suivant son expiration, le Franchisé s'interdit d'exercer, directement ou indirectement, une activité commerciale similaire à celle faisant l'objet de la franchise dans le territoire visé. Cette obligation de non-concurrence s'étend aux entités dans lesquelles le Franchisé détient un intérêt significatif, ainsi qu'aux sociétés affiliées du Franchisé dont il est actionnaire majoritaire.	Non	claude
10	Le Bailleur consent au Locataire la jouissance exclusive des locaux décrits à l'Annexe A, soit une superficie de 450 mètres carrés situés au deuxième étage du centre commercial Les Promenades du Parc, Montréal. Le Locataire s'engage à exploiter personnellement les locaux pour les seules fins de vente au détail d'articles de sport et ne peut sous-louer ni céder le bail sans le consentement préalable et écrit du Bailleur. Aucune société affiliée du Locataire ne peut occuper les lieux sans consentement distinct.	Non	claude
