index	text	answer	source_model
1	À l'expiration de la période initiale de trois (3) ans, le présent accord se renouvellera automatiquement pour des périodes successives d'un (1) an, à moins que l'une ou l'autre des parties ne signifie à l'autre, par écrit, son intention de ne pas renouveler, au moins quatre-vingt-dix (90) jours avant la date d'expiration.	Oui	claude
2	Le contrat est renouvelable tacitement d'année en année à moins que l'une des parties ne donne un préavis de résiliation d'au moins soixante (60) jours avant la date anniversaire. Chaque renouvellement est aux mêmes conditions, sauf ajustement tarifaire selon l'IPC annuel.	Oui	claude
3	Sauf avis contraire donné dans le délai requis, le présent accord de service sera reconduit automatiquement pour une nouvelle période de deux (2) ans aux mêmes conditions, avec une révision des tarifs selon les modalités de l'article 9.3.	Oui	claude
4	Si aucune des parties ne signifie à l'autre son intention de ne pas renouveler dans les cent vingt (120) jours précédant l'expiration du terme en cours, le présent accord sera présumé renouvelé pour une période supplémentaire égale à la période précédente, aux mêmes conditions.	Oui	claude
5	Le Franchiseur offre au Franchisé une option de renouvellement pour une période additionnelle de cinq (5) ans, sous réserve que le Franchisé soit en règle avec toutes ses obligations et qu'il accepte les nouvelles conditions de franchise applicables à cette date.	Oui	claude
6	Le présent accord prend fin le 31 décembre 2025. À cette date, toutes les licences accordées aux termes du présent accord seront automatiquement révoquées et le Licencié devra cesser tout usage du Logiciel.	Non	claude
7	Les parties peuvent résilier le présent accord pour des raisons de commodité en donnant un préavis écrit de cent quatre-vingts (180) jours à l'autre partie, sans indemnité au-delà des obligations contractuelles déjà échues.	Non	claude
8	Le présent accord entrera en vigueur à la date de signature par les deux parties et restera en vigueur jusqu'à l'achèvement des livrables décrits à l'Annexe de portée de travaux, sauf résiliation anticipée.	Non	claude
9	En cas de manquement grave et non corrigé, la partie lésée peut résilier le présent accord sur préavis de quinze (15) jours pendant lequel la partie en défaut pourra remédier au manquement.	Non	claude
10	Le présent accord de confidentialité entre en vigueur à la date indiquée et demeure valide pour une période de cinq (5) ans, nonobstant la résiliation ou l'expiration de tout accord commercial entre les parties.	Non	claude
