index	text	answer	source_model
1	Un contribuable conteste la cotisation de l'ARC qui a refusé la totalité de ses dépenses d'entreprise, alléguant qu'elles étaient personnelles. La CCI conclut que toutes les dépenses étaient effectivement liées à l'exploitation de l'entreprise et ordonne l'annulation complète de la cotisation.	Succès total	claude
2	Un actionnaire conteste la qualification d'une distribution comme dividende imposable. La Cour accueille le pourvoi dans sa totalité, conclut à l'absence de dividende réputé et annule la cotisation en entier.	Succès total	claude
3	Un travailleur autonome conteste le refus de l'ARC de reconnaître son statut d'entrepreneur indépendant. La CCI conclut sans équivoque que le contribuable exploitait sa propre entreprise et annule intégralement les cotisations au titre des charges sociales de l'employeur.	Succès total	claude
4	Un contribuable conteste une cotisation relative à des dépenses de bureau à domicile et des frais de véhicule. La CCI admet les dépenses de bureau à domicile en totalité, mais réduit les frais de véhicule de cinquante pour cent (50 %) en raison d'un usage personnel important non documenté.	Succès partiel	claude
5	Une PME conteste le refus de l'ARC d'accorder des crédits d'impôt pour la recherche scientifique et le développement expérimental (RS&DE). La CCI reconnaît l'admissibilité de deux des quatre projets contestés et accorde les crédits correspondants, rejetant les deux autres projets.	Succès partiel	claude
6	Un investisseur conteste la qualification de pertes en capital plutôt que de pertes d'entreprise. La Cour admet la qualification de pertes d'entreprise pour trois opérations sur quatre, reconnaissant ainsi la déductibilité complète de trois quarts des pertes, les autres étant confirmées comme pertes en capital.	Succès partiel	claude
7	Un propriétaire d'immeuble locatif conteste le refus de l'ARC de permettre la déduction des frais de rénovation à titre de dépenses courantes plutôt que de dépenses en capital. La CCI conclut que les rénovations constituaient manifestement des améliorations durables à l'immeuble et confirme la cotisation dans son intégralité.	Rejet	claude
8	Un contribuable conteste la qualification d'un avantage reçu de son employeur comme avantage imposable. La Cour conclut que l'avantage est clairement imposable en vertu de l'art. 6 LIR et rejette l'appel, confirmant la cotisation de l'ARC.	Rejet	claude
9	Un groupe de contribuables conteste des cotisations liées à leur participation à une structure d'abri fiscal promotionnel. La CCI conclut à l'existence d'un trompe-l'œil et confirme les cotisations avec pénalités, rejetant intégralement les arguments des appelants.	Rejet	claude
10	Une société conteste une cotisation liée au transfert sous-évalué d'actifs à une société liée. La CCI conclut que le transfert a été effectué à une valeur inférieure à la juste valeur marchande et confirme les redressements effectués par l'ARC selon les règles de l'art. 69 LIR.	Rejet	claude
