index	text	answer	source_model
1	Le Distributeur s'engage à ne pas vendre les Produits en dessous du prix de revente minimal (PRM) fixé par le Fournisseur à l'Annexe de tarification, lequel sera mis à jour trimestriellement. Toute vente en dessous du PRM constitue un manquement contractuel donnant lieu à une mise en demeure.	Oui	claude
2	Le Licencié s'interdit de consentir à ses clients finaux des remises dépassant vingt pour cent (20 %) sur le prix de liste officiel, sauf autorisation écrite préalable du Concédant. Cette restriction vise à protéger la valeur perçue de la marque sur le marché.	Oui	claude
3	Le Franchisé ne peut pas vendre les articles du menu à des prix inférieurs aux prix directeurs du Franchiseur ni à des prix supérieurs de plus de dix pour cent (10 %) au prix directeur, afin de maintenir la cohérence tarifaire du réseau.	Oui	claude
4	Le Revendeur s'engage à maintenir une marge bénéficiaire brute minimale de quinze pour cent (15 %) sur tous les Produits et à ne pas vendre en dessous du coût sans le consentement écrit du Fournisseur, afin de préserver la santé du réseau de distribution.	Oui	claude
5	Aux fins de la présente entente, aucune des parties ne peut fixer unilatéralement les prix de revente des Produits sur le marché secondaire. Toute politique de tarification doit être approuvée conjointement par le comité commercial bi-mensuel prévu à l'article 12.	Oui	claude
6	Le Licencié s'engage à faire la promotion active des Produits dans son territoire et à investir au minimum cinq pour cent (5 %) de son chiffre d'affaires issu des Produits en activités de marketing et de développement commercial.	Non	claude
7	Le présent accord fixe le volume minimal d'achat à cinq cents (500) unités par trimestre. L'achat de volumes supplémentaires au-delà de ce minimum donnera lieu à des remises selon le barème figurant à l'Annexe tarifaire.	Non	claude
8	La clause de nation la plus favorisée garantit au Client les mêmes tarifs que ceux accordés aux clients les plus favorisés dans une catégorie comparable, pour des volumes d'achat équivalents.	Non	claude
9	Les parties conviennent que les ajustements tarifaires annuels se feront sur la base de l'Indice des prix à la production (IPP) publié par Statistique Canada, avec un plafond d'augmentation de cinq pour cent (5 %) par année.	Non	claude
10	Le Fournisseur accorde au Distributeur une exclusivité territoriale en échange d'un engagement ferme d'achats annuels de deux cent mille dollars (200 000 $). La non-atteinte de cet engagement entraîne la perte de l'exclusivité.	Non	claude
