index	text	answer	source_model
1	La responsabilité totale cumulée de chaque partie envers l'autre au titre du présent accord, que ce soit en vertu du droit contractuel, délictuel ou autre, ne saurait en aucun cas excéder le montant total des redevances effectivement payées par le Licencié au cours des douze (12) mois précédant l'événement ayant donné lieu à la réclamation.	Oui	claude
2	En aucun cas la responsabilité du Prestataire ne dépassera le montant de cent mille dollars canadiens (100 000 $ CAD) par incident ou par année contractuelle, peu importe la nature de la réclamation, le fondement juridique invoqué ou le fait que le Prestataire ait été informé de la possibilité de tels dommages.	Oui	claude
3	La responsabilité maximale du Fournisseur pour tout manquement à ses obligations aux termes du présent contrat est expressément limitée à la valeur totale des honoraires facturés et perçus au cours des six (6) mois précédant l'incident ouvrant droit à réclamation.	Oui	claude
4	Nonobstant toute autre disposition du présent accord, aucune des parties ne sera responsable envers l'autre pour des dommages indirects, consécutifs, spéciaux, accessoires ou punitifs, y compris la perte de profits, de revenus, de données ou d'opportunités d'affaires, même si cette partie a été informée de la possibilité de tels dommages.	Oui	claude
5	Le montant total que le Distributeur peut réclamer au Fournisseur au titre de tout manquement contractuel est plafonné à cinquante pour cent (50 %) des commissions versées au Fournisseur au cours des trois (3) mois précédant la survenance du manquement allégué.	Oui	claude
6	Les parties s'engagent à s'aviser mutuellement par écrit dans les cinq (5) jours ouvrables suivant la découverte de toute violation de la sécurité susceptible de compromettre des données personnelles échangées dans le cadre du présent accord.	Non	claude
7	Le Licencié s'engage à ne pas reproduire, distribuer, modifier, adapter, transmettre publiquement ou créer des œuvres dérivées à partir des Logiciels sans l'autorisation préalable et écrite du Concédant.	Non	claude
8	Le présent accord entre en vigueur à la date de sa signature par les deux parties et demeure en vigueur pour une période initiale de trois (3) ans, à moins qu'il ne soit résilié plus tôt conformément aux dispositions de résiliation prévues aux présentes.	Non	claude
9	Le Fournisseur déclare et garantit qu'il a le plein pouvoir et l'autorité légale pour conclure le présent accord et pour exécuter les obligations qui y sont prévues, et que cet accord ne contrevient à aucune obligation contractuelle préexistante.	Non	claude
10	La partie qui désire invoquer la force majeure doit en aviser l'autre partie dans les quarante-huit (48) heures suivant la survenance de l'événement en question. Passé ce délai, la partie ne pourra plus invoquer la force majeure pour l'événement en question.	Non	claude
