index	text	answer	source_model
1	Le Licencié ne peut céder le présent accord, en tout ou en partie, ni transférer ses droits ou obligations qui en découlent à quelque tiers que ce soit, sans le consentement écrit préalable du Concédant, lequel peut être refusé à son entière discrétion. Toute tentative de cession en violation de la présente disposition sera nulle et sans effet.	Oui	claude
2	Les droits et obligations des parties aux termes du présent contrat ne peuvent être cédés ou transférés par l'une ou l'autre des parties sans l'accord écrit préalable de l'autre partie. Une fusion ou une acquisition d'une partie sera réputée constituer une cession aux fins de la présente clause.	Oui	claude
3	Le Preneur de licence reconnaît que la licence qui lui est accordée est personnelle et intuitu personae. Il s'interdit expressément de sous-licencier, céder, transférer, nantir ou autrement aliéner les droits conférés par le présent accord sans l'approbation écrite préalable du Concédant.	Oui	claude
4	La Franchisée ne peut pas céder ses droits découlant de la présente convention de franchise à un tiers, directement ou indirectement, que ce soit par voie de cession de contrat, de cession d'actions ou d'actifs, ou par tout autre mécanisme, sauf avec le consentement exprès du Franchiseur.	Oui	claude
5	Aucune des parties ne peut céder ses droits ou déléguer ses obligations en vertu du présent contrat à des tiers sans l'autorisation écrite de l'autre partie, à l'exception des cessions faites au profit de filiales ou de sociétés affiliées détenues à au moins 80 %, sous réserve d'un préavis de 30 jours.	Oui	claude
6	Le présent contrat est régi et interprété conformément aux lois de la province de Québec et aux lois fédérales du Canada qui s'y appliquent. Les parties soumettent irrévocablement à la compétence exclusive des tribunaux du district judiciaire de Montréal tout litige découlant du présent accord.	Non	claude
7	En cas de résiliation du présent contrat pour quelque motif que ce soit, le Prestataire s'engage à fournir des services de transition d'une durée maximale de six (6) mois pour permettre au Client de migrer ses données et activités vers un autre fournisseur.	Non	claude
8	Le Fournisseur s'engage à maintenir en vigueur pendant toute la durée du contrat une assurance responsabilité civile générale d'au moins deux millions de dollars (2 000 000 $) par sinistre et une assurance erreurs et omissions d'un million de dollars (1 000 000 $).	Non	claude
9	Toute modification du présent contrat doit être faite par écrit et signée par les représentants autorisés des deux parties. Aucune renonciation à un droit ne constitue une renonciation à d'autres droits ou à d'autres instances du même droit.	Non	claude
10	Les parties conviennent que le présent accord constitue l'intégralité de leur entente concernant son objet et remplace toute négociation, représentation, garantie ou accord antérieur, oral ou écrit, portant sur le même objet.	Non	claude
