index	text	answer	source_model
1	Le Client se réserve le droit d'effectuer, à ses frais, un audit annuel des livres et registres du Fournisseur relatifs aux redevances payables en vertu du présent accord, sur préavis écrit de quinze (15) jours ouvrables. Le Fournisseur s'engage à coopérer pleinement et à fournir l'accès aux documents pertinents.	Oui	claude
2	Le Donneur de licence a le droit de faire vérifier par un auditeur indépendant, à ses frais, les rapports d'utilisation et les registres comptables du Licencié aux fins de confirmer l'exactitude des redevances déclarées, sur préavis de trente (30) jours. Si un écart supérieur à 5 % est constaté, le Licencié prend en charge les frais d'audit.	Oui	claude
3	Le Franchiseur ou ses représentants autorisés peuvent, à tout moment sur préavis raisonnable, auditer les registres financiers, les stocks, les opérations et les installations du Franchisé afin de vérifier la conformité aux normes du réseau de franchise et à l'exactitude des rapports de ventes.	Oui	claude
4	Aux fins de vérification de la conformité aux obligations de sécurité de l'information, le Client dispose du droit de mandater un tiers certifié pour effectuer un audit de sécurité des systèmes et processus du Fournisseur une fois par année fiscale, les frais étant à la charge du Client.	Oui	claude
5	Le Bénéficiaire s'engage à tenir des registres complets et exacts des utilisations faites de la Technologie et à mettre ces registres à la disposition du Titulaire pour fin d'audit, sur demande écrite, une fois par période de douze (12) mois. Un auditeur indépendant désigné d'un commun accord procédera à la vérification.	Oui	claude
6	Le présent accord de confidentialité protège les renseignements techniques, financiers et commerciaux divulgués entre les parties dans le cadre des discussions relatives à la transaction envisagée et n'octroie aucun droit de licence ou de propriété sur ces renseignements.	Non	claude
7	Les parties s'engagent à se conformer à toutes les lois applicables en matière de protection des renseignements personnels, notamment la Loi 25 du Québec et la LPRPDE, dans le cadre de leur relation contractuelle.	Non	claude
8	Le Fournisseur s'engage à maintenir des sauvegardes quotidiennes de toutes les données du Client et à assurer la disponibilité du service à un taux minimum de 99,5 % par mois, excluant les périodes de maintenance planifiée.	Non	claude
9	Les parties s'engagent à traiter le contenu du présent accord et de ses Annexes à titre strictement confidentiel et à ne le divulguer qu'aux membres de leur personnel qui ont besoin d'en connaître pour l'exécution de leurs obligations.	Non	claude
10	En cas de manquement aux dispositions du présent accord, la partie lésée devra d'abord aviser la partie en défaut par écrit pour lui permettre de remédier au manquement dans un délai de trente (30) jours avant d'entreprendre toute procédure.	Non	claude
