index	text	answer	source_model
1	Un locataire conteste une décision de résilier son bail pour non-paiement de loyer. Le loyer mensuel est de 1 200 $. Le propriétaire a suivi la procédure de mise en demeure prévue par la loi.	Tribunal administratif du logement\nBase légale : art. 28 de la Loi sur le Tribunal administratif du logement, RLRQ c T-15.01	claude
2	Une personne réclame 18 000 $ en dommages-intérêts à un entrepreneur en construction pour des malfaçons dans la rénovation de sa maison. Il n'y a pas de contrat de consommation impliqué.	Cour du Québec (Division des petites créances si ≤15 000 $) ou Chambre civile\nBase légale : art. 34 et 953 CPC — la Division des petites créances est compétente jusqu'à 15 000 $ ; au-delà, la Chambre civile de la Cour du Québec s'il s'agit d'un montant de 15 001 $ à 85 000 $.	claude
3	Une société par actions cherche à obtenir une injonction provisoire contre un concurrent pour arrêter une campagne publicitaire jugée diffamatoire, dans un litige évalué à plus de 100 000 $.	Cour supérieure du Québec\nBase légale : art. 33 et 509 CPC — la Cour supérieure est la juridiction de droit commun pour les litiges dépassant la compétence de la Cour du Québec et pour les injonctions.	claude
4	Un demandeur d'asile conteste le rejet de sa demande de statut de réfugié par la Section de la protection des réfugiés (SPR).	Cour fédérale du Canada\nBase légale : art. 72 de la Loi sur l'immigration et la protection des réfugiés (LIPR), LC 2001 c 27 — la Cour fédérale est compétente pour contrôler les décisions des tribunaux administratifs fédéraux en matière d'immigration.	claude
5	Un contribuable souhaite contester une cotisation de l'Agence du revenu du Canada refusant la déductibilité de dépenses d'entreprise de 45 000 $.	Cour canadienne de l'impôt\nBase légale : art. 169 de la Loi de l'impôt sur le revenu, LRC 1985 c 1 (5e suppl.) — la CCI est compétente pour entendre les appels de cotisations fiscales fédérales.	claude
6	Un employé de banque à charte syndiqué conteste son congédiement pour cause juste et suffisante devant un arbitre de grief.	Arbitrage de grief (convention collective)\nBase légale : Code canadien du travail, LRC 1985 c L-2, art. 240-246 — les employés des banques relèvent du droit du travail fédéral ; les griefs sont soumis à l'arbitrage selon la convention collective applicable.	claude
7	Un médecin dont le droit de pratique a été suspendu par le Collège des médecins du Québec conteste cette décision disciplinaire.	Tribunal des professions du Québec (appel) ou Conseil de discipline du Collège\nBase légale : Code des professions, RLRQ c C-26 — le Conseil de discipline du Collège instruit les plaintes ; l'appel va au Tribunal des professions selon l'art. 182 du Code des professions.	claude
8	Une entreprise québécoise souhaite contester la constitutionnalité d'une loi fédérale qui, selon elle, empiète sur la compétence provinciale en matière de propriété et droits civils.	Cour supérieure du Québec\nBase légale : art. 96 Loi constitutionnelle de 1867 ; la Cour supérieure a compétence inhérente pour les questions constitutionnelles ; l'appel va à la Cour d'appel puis potentiellement à la CSC.	claude
9	Un commerçant conteste une décision de l'Office de la protection du consommateur lui imposant une amende administrative de 5 000 $ pour pratiques commerciales trompeuses.	Tribunal administratif du Québec (section des affaires économiques)\nBase légale : Loi sur la justice administrative, RLRQ c J-3 ; LPC art. 316 et suiv.	claude
10	Deux propriétaires d'immeubles voisins sont en litige quant aux limites de leurs terrains respectifs et réclament tous deux la rectification du cadastre. La valeur en litige n'est pas quantifiée.	Cour supérieure du Québec\nBase légale : art. 33 CPC — la Cour supérieure est compétente pour les demandes relatives aux droits réels immobiliers et les actions dont la valeur est indéterminée ou excède la compétence de la Cour du Québec.	claude
