index	text	answer	source_model
1	Au cours de l'exercice 2023-2024, nous avons réalisé cent vingt-trois (123) audits de conformité sociale auprès de nos fournisseurs, dont quarante-quatre pour cent (44 %) étaient non annoncés. Ces audits ont été conduits par Bureau Veritas dans douze pays. Vingt-huit fournisseurs ont reçu des plans d'action correctifs ; vingt-deux ont clôturé leurs non-conformités dans les délais prescrits.	Oui	claude
2	En 2023, nous avons audité la totalité de nos soixante-dix-huit (78) fournisseurs de premier rang, représentant quatre-vingt-six pour cent (86 %) de nos dépenses d'approvisionnement. Les audits ont été réalisés selon la méthodologie SMETA quatre piliers. Le taux de non-conformité majeure s'établit à onze pour cent (11 %), en diminution de cinq points par rapport à l'exercice précédent.	Oui	claude
3	Trois (3) fournisseurs ont été mis sous surveillance renforcée à la suite d'audits révélant des écarts significatifs en matière de temps de travail et de rémunération. Deux de ces fournisseurs ont satisfait aux exigences correctives lors de l'audit de suivi réalisé dans les quatre-vingt-dix (90) jours. Le troisième a été retiré de notre liste de fournisseurs approuvés en novembre 2023.	Oui	claude
4	Notre programme d'audit 2023 a priorisé les fournisseurs situés dans les pays présentant les indices de risque les plus élevés selon le Global Slavery Index. Sur les quarante-six (46) fournisseurs audités dans ces pays, cinq (5) présentaient des indicateurs de travail forcé nécessitant une enquête approfondie. Dans quatre (4) cas, des mesures correctives ont été convenues ; dans un (1) cas, la relation commerciale a été rompue.	Oui	claude
5	Le tableau ci-dessous présente nos résultats d'audit pour l'exercice 2023 : total des audits réalisés : 89 ; audits annoncés : 54 (61 %) ; audits non annoncés : 35 (39 %) ; pays couverts : 9 ; non-conformités majeures identifiées : 17 ; non-conformités mineures identifiées : 42 ; plans d'action correctifs émis : 17 ; plans clôturés dans les délais : 14.	Oui	claude
6	Nous nous engageons à promouvoir des pratiques de travail éthiques tout au long de notre chaîne d'approvisionnement. Nous travaillons avec nos fournisseurs pour renforcer leurs systèmes de gestion des ressources humaines et améliorer les conditions de travail de leurs employés. Cet engagement est au cœur de notre stratégie de développement durable.	Non	claude
7	Notre Code de conduite des fournisseurs exige le respect des droits fondamentaux des travailleurs tels que définis par l'Organisation internationale du Travail (OIT), notamment l'interdiction du travail forcé, du travail des enfants et de la discrimination. Tous nos fournisseurs sont tenus de signer ce code avant d'être homologués et de le faire respecter par leurs propres sous-traitants.	Non	claude
8	Nous avons dispensé des formations sur la Loi S-211 à deux cents deux (202) employés dans nos fonctions d'approvisionnement, de conformité et de direction entre janvier et mars 2023. Ces formations, d'une durée totale de huit heures, comprenaient des modules sur l'identification des risques, les obligations de déclaration et les procédures de diligence raisonnable.	Non	claude
9	Notre responsable de la durabilité de la chaîne d'approvisionnement relève directement du chef des opérations et présente un rapport semestriel au comité d'audit du conseil d'administration. Ce poste est chargé de coordonner l'ensemble de notre programme de diligence raisonnable, de superviser les relations avec les prestataires d'audit et de gérer les incidents de non-conformité.	Non	claude
10	Nous faisons appel à SGS Canada Inc. pour vérifier de manière indépendante les données clés publiées dans notre déclaration annuelle conformément à la Loi S-211. La vérification, réalisée selon les normes ISAE 3000, couvre les indicateurs relatifs à la couverture de nos politiques, au nombre d'employés formés et au nombre de fournisseurs évalués au cours de l'exercice.	Non	claude
