index	text	answer	source_model
1	Pendant la durée du présent accord et pour une période de vingt-quatre (24) mois suivant sa résiliation pour quelque motif que ce soit, le Distributeur s'engage à ne pas distribuer, commercialiser ou promouvoir, directement ou indirectement, des produits ou services concurrençant directement les Produits du Fournisseur dans le territoire visé.	Oui	claude
2	Le Consultant s'engage à n'exercer aucune activité professionnelle concurrente dans le secteur de la cybersécurité pour le compte de toute entreprise concurrençant directement le Client, que ce soit à titre d'employé, de consultant, d'associé ou d'actionnaire (au-delà de 5 %) pendant une période de dix-huit (18) mois suivant la fin de la mission.	Oui	claude
3	Le Franchisé reconnaît que les obligations de non-concurrence prévues aux présentes sont raisonnables quant à leur portée géographique (province de Québec) et à leur durée (trente-six mois). Il s'interdit d'exploiter ou d'acquérir un intérêt dans tout établissement exploitant un concept de restauration similaire dans ce territoire pendant ladite période.	Oui	claude
4	Pendant la durée de la relation contractuelle et pour une durée de douze (12) mois après la cessation de cette relation, le Licencié s'engage à ne pas développer, acquérir ou commercialiser un produit logiciel fonctionnellement équivalent aux Logiciels licenciés, dans le secteur de la gestion de la chaîne d'approvisionnement.	Oui	claude
5	L'Acquéreur reconnaît que le vendeur et ses actionnaires clés sont soumis à une obligation de non-concurrence de quatre (4) ans dans le secteur de la distribution d'équipements médicaux dans les provinces de Québec et d'Ontario, conformément à l'accord de vente d'actions conclu simultanément aux présentes.	Oui	claude
6	Les parties s'engagent à ne pas solliciter ni embaucher les employés clés de l'autre partie pendant la durée du présent accord et pour une période de douze (12) mois suivant sa résiliation, sans le consentement écrit préalable de l'autre partie.	Non	claude
7	Le Licencié reconnaît que le Concédant est propriétaire exclusif de tous les droits de propriété intellectuelle sur la Technologie et les Logiciels. Le présent accord ne transfère aucun droit de propriété intellectuelle au Licencié, qui ne reçoit qu'une licence d'utilisation limitée.	Non	claude
8	En contrepartie de la divulgation des informations confidentielles, le Bénéficiaire s'engage à n'utiliser lesdites informations qu'aux seules fins de l'évaluation de la transaction envisagée entre les parties et à ne pas les divulguer à des tiers sans autorisation écrite préalable.	Non	claude
9	Ni l'une ni l'autre des parties ne pourra déposer des demandes de brevet, de marque de commerce ou de droit d'auteur portant sur les droits de l'autre partie ou sur les résultats issus de la collaboration, sans le consentement exprès préalable de l'autre partie.	Non	claude
10	Le présent accord peut être résilié immédiatement par le Concédant si le Licencié se retrouve en situation d'insolvabilité, fait l'objet d'une ordonnance de mise sous séquestre, ou dépose une proposition concordataire en vertu de la Loi sur la faillite et l'insolvabilité.	Non	claude
