index	text	answer	source_model
1	Mon partenaire d'affaires et moi avons fondé une société par actions ensemble il y a trois ans. Il veut maintenant se retirer mais refuse de vendre ses actions à la valeur marchande et bloque toutes les décisions au conseil d'administration. Quels sont mes recours légaux pour sortir de cette impasse ?	Oui	claude
2	J'ai signé un contrat de franchise avec une enseigne nationale. La franchiseur a modifié unilatéralement les conditions d'approvisionnement, ce qui a fait doubler mes coûts. Le contrat interdit les modifications unilatérales. Puis-je réclamer des dommages-intérêts ou résilier ?	Oui	claude
3	Ma PME a fait faillite. Les créanciers me poursuivent personnellement, affirmant que j'ai utilisé des fonds de la société à des fins personnelles. J'étais actionnaire majoritaire et directeur général. Suis-je personnellement responsable des dettes de la société ?	Oui	claude
4	J'ai vendu mon entreprise de restauration à un acheteur qui promettait de continuer les activités. Deux mois après la vente, il a fermé le restaurant et refuse de payer le solde du prix de vente (60 000 $) prévu à l'acte de vente. Comment forcer le paiement ?	Oui	claude
5	Je suis fournisseur d'une grande chaîne de détail qui a déclaré faillite. Je suis créancier non garanti pour 45 000 $ en marchandises livrées non payées. Quelle est ma priorité dans la distribution des actifs et quelles démarches dois-je faire auprès du syndic ?	Oui	claude
6	Mon employeur m'a congédié sans cause juste et sans préavis après 7 ans de service. J'avais un salaire de 65 000 $ par année. Il prétend que c'est une restructuration. Je n'ai pas signé de clause de non-concurrence. Quels sont mes droits ?	Non	claude
7	J'ai acheté un condo neuf il y a deux ans. Le promoteur a livré l'unité avec des défauts majeurs : planchers qui gondolent, fuites d'eau dans la salle de bain, isolation insuffisante. Le promoteur ignore mes mises en demeure. Puis-je recourir à la garantie Qualité Habitation ?	Non	claude
8	Mon propriétaire veut résilier mon bail commercial en me donnant seulement 30 jours de préavis, alors que mon bail prévoit un préavis de 6 mois. Il prétend qu'il doit rénover l'immeuble. Quels sont mes droits en tant que locataire commercial ?	Non	claude
9	Une entreprise a utilisé le logo de ma marque de commerce déposée sur ses produits sans ma permission. Je veux les faire cesser et obtenir des dommages. Par où commencer ?	Non	claude
10	J'ai commandé en ligne un téléviseur à 1 200 $. Le commerçant a encaissé le paiement mais n'a jamais livré le produit et ne répond plus à mes messages. La Loi sur la protection du consommateur s'applique-t-elle à cette situation ?	Non	claude
