index	text	answer	source_model
1	J'ai reçu un constat d'infraction pour excès de vitesse (120 km/h dans une zone de 90 km/h) sur une route nationale. L'amende est de 250 $ et je risque 4 points de démérite. Est-ce que ça vaut la peine de contester et sur quels motifs ?	Oui	claude
2	Mon permis de conduire a été suspendu automatiquement par la SAAQ parce que j'ai accumulé 15 points de démérite. Je dépends de ma voiture pour mon travail. Y a-t-il une façon de contester la suspension ou d'obtenir un permis restreint ?	Oui	claude
3	J'ai été impliqué dans un accrochage mineur dans un stationnement. L'autre conducteur prétend que j'ai quitté les lieux sans laisser mes coordonnées, ce que je nie. La police m'a remis un constat d'infraction pour délit de fuite. Comment me défendre ?	Oui	claude
4	J'ai reçu une contravention par caméra photo pour avoir grillé un feu rouge. Je pense que la caméra a capturé la voiture de mon voisin qui ressemble à la mienne. Comment contester une infraction capturée par caméra au Québec ?	Oui	claude
5	La SAAQ a révoqué mon permis de conduire suite à une évaluation médicale concluant que mon diabète représente un risque pour la conduite. Mon médecin est en désaccord avec cette conclusion. Puis-je faire appel de cette décision ?	Oui	claude
6	J'ai eu un accident de voiture en glissant sur la glace. Mon passager a été blessé et me réclame 30 000 $ en dommages-intérêts. J'avais une assurance responsabilité à jour. Comment se déroule la réclamation ?	Non	claude
7	Mon employeur m'oblige à utiliser mon véhicule personnel pour le travail et ne me rembourse que 25 cents du kilomètre, bien en deçà du taux suggéré. Je parcours 400 km par semaine. Quels sont mes droits ?	Non	claude
8	J'ai acheté un véhicule neuf il y a 6 mois et il a déjà eu 3 pannes majeures. Le concessionnaire refuse de le reprendre. Puis-je invoquer la Loi sur la protection du consommateur pour annuler la vente ou exiger un véhicule de remplacement ?	Non	claude
9	Mon voisin a stationné son camion devant mon entrée privée bloquant totalement l'accès à mon garage depuis deux jours. La ville refuse d'intervenir. Quels sont mes recours pour libérer mon accès immédiatement ?	Non	claude
10	Je suis accusé d'avoir fourni de l'alcool à des mineurs lors d'une fête chez moi. Un des mineurs a eu un accident de voiture en quittant. La police veut me porter des accusations. Quelles sont les infractions et mes risques ?	Non	claude
