index	text	answer	source_model
1	Le 15 mars 2021, la demanderesse a glissé sur le trottoir enneigé devant l'immeuble du défendeur et s'est fracturé le poignet droit. Elle a été transportée à l'Hôpital du Sacré-Cœur, où elle a subi une chirurgie le lendemain. Elle occupe un emploi de pianiste concertiste et n'a pu reprendre ses activités professionnelles que sept mois plus tard.	Faits	claude
2	La défenderesse est propriétaire d'un immeuble commercial situé au 1245, rue Sainte-Catherine Ouest à Montréal depuis 2018. Le demandeur est locataire commercial de ladite propriété aux termes d'un bail commercial signé le 1er janvier 2019 pour une durée de cinq ans.	Faits	claude
3	En vertu de l'article 1457 du Code civil du Québec, toute personne qui, par sa faute, cause un préjudice à autrui est tenue de le réparer. Cette obligation impose au demandeur de prouver l'existence d'une faute, d'un préjudice et d'un lien de causalité entre les deux. La norme applicable est celle d'une personne raisonnable placée dans les mêmes circonstances.	Droit	claude
4	Les obligations du vendeur en matière de garantie légale contre les vices cachés sont régies par les articles 1726 à 1731 du Code civil du Québec. Pour obtenir réparation, l'acheteur doit démontrer que le vice était caché, suffisamment grave pour affecter l'utilité du bien et antérieur à la vente. La prescription de ce recours est de trois ans à compter de la découverte du vice.	Droit	claude
5	En l'espèce, la preuve révèle que le défendeur a omis de saler le trottoir de son immeuble malgré la tempête de verglas survenue deux jours avant l'accident. Cette omission constitue un manquement à la norme de prudence attendue d'un propriétaire raisonnable au sens de l'art. 1457 CCQ. Le lien entre cette négligence et la chute de la demanderesse est établi par la preuve prépondérante.	Application	claude
6	En appliquant les critères établis dans l'arrêt Clements c Clements 2012 CSC 32 aux faits du présent dossier, la Cour constate que le comportement du défendeur a été une cause sine qua non du préjudice subi. Sans l'omission du défendeur, la demanderesse n'aurait pas chuté. La causalité est donc suffisamment établie pour engager la responsabilité.	Application	claude
7	Pour ces motifs, la Cour accueille l'action de la demanderesse et condamne le défendeur à lui verser la somme de 78 500 $ en dommages-intérêts compensatoires, dont 15 000 $ pour préjudice moral et 63 500 $ pour pertes de revenus professionnels. Les dépens sont accordés à la demanderesse.	Conclusion	claude
8	En conséquence, le recours est rejeté. La demanderesse n'a pas établi par une preuve prépondérante l'existence d'un vice caché au sens de l'art. 1726 CCQ. Elle est condamnée aux dépens.	Conclusion	claude
9	La Cour note, bien qu'il ne soit pas nécessaire de trancher cette question pour les fins du présent jugement, que la doctrine récente semble s'orienter vers une interprétation plus souple de la notion de préjudice moral en droit québécois, ce qui pourrait avoir des implications importantes pour les litiges futurs impliquant des préjudices diffus.	Obiter	claude
10	Il convient de mentionner, sans que cela affecte le dispositif du présent jugement, que la question de la responsabilité des plateformes numériques pour les contenus de tiers méritera d'être réexaminée à la lumière des évolutions législatives envisagées par le législateur québécois en matière de protection des renseignements personnels.	Obiter	claude
