index	text	answer	source_model
1	Le Client peut résilier le présent accord à tout moment, pour quelque motif que ce soit ou sans motif, en donnant au Prestataire un préavis écrit de quatre-vingt-dix (90) jours. En cas de résiliation pour convenance, le Client paiera les services rendus jusqu'à la date effective de résiliation.	Oui	claude
2	Chacune des parties peut mettre fin au présent accord sans cause, sur préavis de soixante (60) jours donné à l'autre partie par écrit. La résiliation pour convenance ne donne pas lieu à des indemnités supplémentaires au-delà des montants dus pour les prestations déjà effectuées.	Oui	claude
3	Nonobstant toute autre disposition du présent accord, le Donneur de licence peut résilier le présent accord sans justification aucune, en remettant à l'autre partie un avis écrit de cent vingt (120) jours. Cette résiliation est sans indemnité pour le Licencié.	Oui	claude
4	Le Gouvernement peut résilier le présent marché public en tout ou en partie à tout moment, sans faute du Prestataire, par un préavis écrit de trente (30) jours. La résiliation donne lieu au paiement des coûts directs engagés et non récupérables, sur présentation de pièces justificatives.	Oui	claude
5	En plus des droits de résiliation pour cause, chaque partie dispose du droit de résilier le présent accord pour raisons commerciales sans avoir à invoquer de motif, en respectant un préavis de nonante (90) jours. La résiliation pour convenance ne constitue pas une violation du présent accord.	Oui	claude
6	Le présent accord peut être résilié par l'une des parties en cas de manquement grave et non corrigé de l'autre partie à l'une de ses obligations matérielles, sur préavis de trente (30) jours adressé par écrit.	Non	claude
7	Le présent accord prendra fin automatiquement si l'une des parties est déclarée en faillite, fait l'objet d'une ordonnance de liquidation judiciaire, ou si un séquestre est nommé pour administrer ses actifs.	Non	claude
8	Le présent accord peut être résilié de plein droit, sans mise en demeure ni préavis, en cas de violation par le Licencié des droits de propriété intellectuelle du Concédant.	Non	claude
9	La résiliation pour faute grave prend effet immédiatement sur notification écrite à la partie en défaut, sans qu'il soit nécessaire de lui accorder un délai de correction.	Non	claude
10	Les parties peuvent mettre fin d'un commun accord au présent contrat à tout moment, par voie d'un avenant signé par leurs représentants autorisés respectifs.	Non	claude
