index	text	answer	source_model
1	Clause : « Aux fins du présent accord, les "informations confidentielles" désignent : (i) les données financières, projections et états financiers non publiés ; (ii) les listes de clients et informations sur les fournisseurs ; (iii) les spécifications techniques, codes source et algorithmes ; (iv) les stratégies commerciales et plans de développement du Divulgateur. » — Affirmation : L'accord définit explicitement les catégories d'informations considérées comme confidentielles.	Vrai	claude
2	Clause : « Seules les informations portant la mention écrite "CONFIDENTIEL" ou "PROPRIÉTAIRE" au moment de leur divulgation seront considérées comme des informations confidentielles aux termes du présent accord. Les informations divulguées oralement doivent être confirmées par écrit avec la mention appropriée dans les dix (10) jours suivant la divulgation. » — Affirmation : Les informations doivent être marquées "CONFIDENTIEL" pour bénéficier de la protection.	Vrai	claude
3	Clause : « La liste exhaustive des informations confidentielles faisant l'objet du présent accord est annexée aux présentes à l'Annexe A. Toute information non figurant sur cette liste n'est pas soumise aux obligations de confidentialité. » — Affirmation : Les informations confidentielles sont identifiées par référence à une liste en annexe.	Vrai	claude
4	Clause : « Le terme "informations confidentielles" inclut exclusivement : les formules de fabrication déposées à l'OPIC, les méthodes de production brevetées ou brevetables, les études de marché commandées par le Divulgateur au cours des vingt-quatre (24) derniers mois, et les listes nominatives de représentants commerciaux. Toute autre information divulguée est présumée non confidentielle. » — Affirmation : Les études de marché récentes du Divulgateur font partie des informations explicitement identifiées comme confidentielles.	Vrai	claude
5	Clause : « Les informations confidentielles visées par le présent accord sont uniquement celles qui sont : (a) transmises sous forme documentaire avec une mention de confidentialité visible ; ou (b) présentées oralement et confirmées par un courriel récapitulatif marqué "Confidentiel" dans les sept (7) jours suivant la présentation. Toute autre information est libre d'utilisation. » — Affirmation : L'accord exclut de sa protection les informations qui ne sont pas expressément identifiées comme confidentielles.	Vrai	claude
6	Clause : « Le Bénéficiaire s'engage à protéger toutes les informations confidentielles du Divulgateur avec le même degré de soin qu'il applique à ses propres informations sensibles, mais en aucun cas avec moins de précautions raisonnables. » — Affirmation : L'accord définit précisément les catégories d'informations qui bénéficient de la protection de confidentialité.	Faux	claude
7	Clause : « Toute information divulguée par le Divulgateur au Bénéficiaire dans le cadre des discussions relatives au projet est réputée confidentielle et soumise aux obligations du présent accord, sauf accord contraire exprès. » — Affirmation : Seules les informations marquées ou désignées comme confidentielles bénéficient de la protection de l'accord.	Faux	claude
8	Clause : « Le Bénéficiaire ne divulguera pas, ne copiera pas et n'utilisera pas les informations confidentielles autrement qu'aux fins autorisées par le présent accord. » — Affirmation : L'accord identifie de manière exhaustive les types d'informations considérées comme confidentielles.	Faux	claude
9	Clause : « Les parties reconnaissent que toutes les informations échangées dans le cadre de leurs discussions et négociations commerciales constituent des informations confidentielles aux fins du présent accord. » — Affirmation : L'accord exige que les informations soient spécifiquement désignées pour être protégées.	Faux	claude
10	Clause : « Le Bénéficiaire s'engage à ne pas divulguer à des tiers les informations confidentielles reçues pendant une période de trois (3) ans à compter de la date de divulgation. » — Affirmation : L'accord contient une liste explicite des informations qui entrent dans la définition des informations confidentielles.	Faux	claude
