index	text	answer	source_model
1	Un juge de la Cour supérieure du Québec siège dans un litige commercial opposant deux entreprises. Il ne divulgue pas aux parties qu'il détient des actions dans l'une des sociétés défenderesses via un compte de fiducie dont il est bénéficiaire. Le jugement est favorable à cette société.	Manquement	claude
2	Un avocat représente deux coaccusés dans la même affaire criminelle. À mi-procès, il apprend que les intérêts de ses clients deviennent divergents : l'un veut témoigner contre l'autre en échange d'une clémence. L'avocat continue à représenter les deux sans en informer le tribunal ni obtenir le consentement éclairé des clients.	Manquement	claude
3	Une juge à la retraite depuis six mois représente comme avocate une partie dans une instance devant le même tribunal où elle siégeait, dans un dossier qu'elle avait personnellement géré avant de quitter la magistrature.	Manquement	claude
4	Un avocat, sans autorisation du tribunal ni de son client, divulgue à un journaliste des pièces du dossier de son client pour influencer l'opinion publique en faveur de la position de son client en cours d'instance.	Manquement	claude
5	Un juge exprime publiquement lors d'une conférence académique son opinion préalable sur une question juridique en litige dans un dossier dont il est saisi, avant d'avoir entendu les parties sur cette question.	Manquement	claude
6	Un juge de la Cour du Québec, lors d'une audience, questionne vigoureusement le témoignage d'un expert et demande des précisions sur ses méthodes, manifestant clairement son scepticisme à l'égard des conclusions présentées. Son questionnement reste dans les limites du rôle inquisitorial du juge.	Pas de manquement	claude
7	Une avocate refuse de plaider une cause dont elle croit sincèrement la défense moralement inacceptable. Elle informe son client suffisamment à l'avance et l'aide à trouver un autre représentant. Le client est ainsi en mesure de poursuivre sa défense sans préjudice.	Pas de manquement	claude
8	Un avocat représentant une partie dans un litige civil révèle au tribunal, conformément à ses obligations déontologiques, qu'il a pris connaissance d'une jurisprudence défavorable à sa position mais non mentionnée par la partie adverse, afin de ne pas induire le tribunal en erreur.	Pas de manquement	claude
9	Un juge recuse spontanément des dossiers impliquant une entreprise dont son conjoint est administrateur, en informant les parties de son motif et en demandant la réassignation des dossiers à un autre juge.	Pas de manquement	claude
10	Un avocat de la défense s'objecte fermement et à plusieurs reprises aux questions de la poursuite qu'il juge irrégulières. Ses objections sont formulées dans le respect des règles de procédure et s'appuient sur des motifs juridiques recevables.	Pas de manquement	claude
