index	text	answer	source_model
1	Clause : « Le Bénéficiaire peut communiquer les informations confidentielles à ses avocats, comptables et conseillers financiers externes, sous réserve que ces professionnels soient soumis à des obligations légales de confidentialité équivalentes ou aient signé des accords de confidentialité appropriés. » — Affirmation : Les conseillers juridiques externes du Bénéficiaire peuvent recevoir les informations confidentielles.	Vrai	claude
2	Clause : « Le partage des informations confidentielles avec des tiers prestataires de services impliqués dans la réalisation du projet est autorisé, à condition que ces tiers soient liés par des obligations de confidentialité au moins aussi contraignantes que celles prévues aux présentes. » — Affirmation : Un sous-traitant technique peut recevoir des informations confidentielles s'il signe un NDA adéquat.	Vrai	claude
3	Clause : « Le Bénéficiaire peut divulguer les informations confidentielles à ses filiales et sociétés affiliées impliquées dans l'évaluation de la transaction, à condition que ces entités soient liées par les présentes obligations ou par des obligations équivalentes. » — Affirmation : Les filiales du Bénéficiaire peuvent recevoir les informations à des conditions similaires.	Vrai	claude
4	Clause : « La divulgation à des tiers est permise uniquement si la loi l'exige ou si une ordonnance judiciaire le commande, et uniquement après avoir donné au Divulgateur un préavis raisonnable pour lui permettre de s'y opposer. » — Affirmation : Le Bénéficiaire doit aviser le Divulgateur avant de divulguer les informations suite à une ordonnance judiciaire.	Vrai	claude
5	Clause : « Le Bénéficiaire peut divulguer les informations confidentielles à des tiers avec le consentement écrit préalable du Divulgateur. À défaut d'un tel consentement, toute divulgation à des tiers est interdite. » — Affirmation : Un tiers ne peut recevoir les informations confidentielles sans que le Divulgateur n'y consente.	Vrai	claude
6	Clause : « Les informations confidentielles ne doivent pas être divulguées à des tiers qui sont en concurrence directe avec le Divulgateur. » — Affirmation : Le Bénéficiaire peut librement partager les informations avec ses consultants externes.	Faux	claude
7	Clause : « Le Bénéficiaire s'engage à protéger les informations confidentielles avec le même niveau de soin qu'il applique à ses propres informations sensibles. » — Affirmation : Le partage avec des partenaires stratégiques du Bénéficiaire est permis sans restriction.	Faux	claude
8	Clause : « Le Bénéficiaire ne communiquera les informations confidentielles qu'à ses employés et représentants ayant besoin d'en connaître. » — Affirmation : Des consultants externes du Bénéficiaire peuvent recevoir librement les informations confidentielles.	Faux	claude
9	Clause : « Toute divulgation à des tiers non autorisés constituera un manquement grave au présent accord. » — Affirmation : Les avocats externes du Bénéficiaire peuvent automatiquement accéder aux informations confidentielles en vertu de leur secret professionnel.	Faux	claude
10	Clause : « Les informations confidentielles sont protégées et ne peuvent être partagées sans autorisation. » — Affirmation : Un sous-traitant du Bénéficiaire peut accéder aux informations si cela est nécessaire à la réalisation du projet, même sans accord de confidentialité.	Faux	claude
