index	text	answer	source_model
1	Le Partenaire A dispose d'un droit de premier refus (ROFR) sur les actions du Partenaire B. Si le Partenaire B reçoit une offre d'achat d'un tiers, il doit en aviser le Partenaire A, qui dispose de trente (30) jours pour acquérir ces actions aux mêmes conditions.	Oui	claude
2	Avant de conclure tout accord de licence avec un tiers dans le secteur de la santé numérique, le Titulaire doit d'abord soumettre au Bénéficiaire une offre de première négociation (ROFN). Le Bénéficiaire dispose de vingt-un (21) jours pour entamer des négociations exclusives.	Oui	claude
3	En cas de cession de l'immeuble, le Locataire commercial dispose d'un droit de première offre (ROFO) : le Propriétaire doit lui notifier son intention de vendre et lui permettre de formuler une offre avant de mettre le bien sur le marché. Le Propriétaire peut refuser l'offre du Locataire mais ne peut vendre à un prix inférieur pendant 12 mois.	Oui	claude
4	Le Commanditaire bénéficiera d'un droit de préemption sur toute nouvelle émission d'actions de la Société, dans la proportion de sa participation actuelle, afin de maintenir sa quote-part. Ce droit devra être exercé dans les vingt (20) jours ouvrables suivant la notification de l'émission envisagée.	Oui	claude
5	Si le Concédant envisage de concéder une licence sur la Technologie à un concurrent du Licencié dans le territoire, il doit préalablement offrir au Licencié les mêmes conditions, conformément à son droit de premier refus contractuel, avant de conclure tout accord avec ce concurrent.	Oui	claude
6	Le Concédant conserve la propriété exclusive de la Technologie et le Licencié s'engage à ne pas déposer de demandes de brevet ou de marque portant sur des éléments substantiels de la Technologie pendant la durée du présent accord.	Non	claude
7	La cession du présent contrat ou des droits qui en découlent à un tiers nécessite le consentement écrit préalable de l'autre partie. Ce consentement ne peut être refusé sans motif raisonnable.	Non	claude
8	Les actionnaires s'engagent à voter leurs actions en faveur des résolutions recommandées par le conseil d'administration dans le cadre des assemblées générales ordinaires, sauf en cas de conflit d'intérêts personnels.	Non	claude
9	En cas de dissolution de la coentreprise, les actifs seront liquidés et distribués proportionnellement aux participations de chaque associé après règlement de toutes les dettes et obligations de la société.	Non	claude
10	Le Commanditaire s'engage à ne pas vendre ou transférer ses actions sans avoir d'abord proposé aux autres actionnaires de participer à la vente selon leur participation au capital (droit de suite ou tag-along).	Non	claude
