index	text	answer	source_model
1	Un conducteur ivre grille un feu rouge et percute un piéton qui traversait légalement. Le piéton décède des suites de ses blessures. Sans la faute du conducteur, le piéton n'aurait pas été frappé. Aucun autre facteur intermédiaire n'a contribué à l'accident.	Causalité directe	claude
2	Un chirurgien omet de vérifier l'allergie aux antibiotiques d'un patient avant l'opération et lui administre une pénicilline. Le patient fait une réaction anaphylactique et décède. Sans cette omission, le patient aurait survécu à l'intervention sans complication.	Causalité directe	claude
3	Un électricien installe incorrectement un câblage dans un immeuble. Six mois plus tard, un court-circuit causé par cette installation défectueuse provoque un incendie qui détruit l'immeuble. L'erreur d'installation est la seule cause du court-circuit.	Causalité directe	claude
4	Un fabricant met sur le marché un produit chimique en sachant qu'il est cancérigène. Une travailleuse l'utilise sans protection pendant vingt ans et développe un cancer pulmonaire. D'autres facteurs (tabagisme, prédisposition génétique) ont également contribué au développement du cancer, mais l'exposition au produit chimique a matériellement augmenté le risque.	Causalité contributive	claude
5	Un entrepreneur construit une route avec des matériaux sous-standard. Deux ans plus tard, la route se dégrade prématurément et un conducteur perd le contrôle de son véhicule. La dégradation de la route et l'excès de vitesse du conducteur ont tous deux contribué à l'accident.	Causalité contributive	claude
6	Un médecin prescrit un médicament inapproprié à un patient. Ce dernier ne prend pas le médicament prescrit et tombe gravement malade d'une condition non liée. Le patient prétend que la mauvaise prescription a causé sa maladie.	Absence de lien causal	claude
7	Un employeur a tardé à mettre en place des mesures d'ergonomie recommandées. Une employée développe un syndrome du canal carpien. L'expertise médicale conclut que ce syndrome est entièrement attribuable à une malformation congénitale et que les conditions de travail n'en ont aucunement aggravé l'évolution.	Absence de lien causal	claude
8	Un constructeur a utilisé de la peinture contenant du plomb dans un immeuble résidentiel il y a trente ans. Un enfant qui y vit présente des niveaux élevés de plomb dans le sang. L'expertise révèle que la source de contamination est l'eau de la vieille plomberie, non la peinture, qui est entièrement scellée.	Absence de lien causal	claude
9	Une municipalité a omis de réparer un lampadaire défectueux dans une rue commerçante. La même nuit, un commerçant est victime d'un vol à main armée dans son commerce. Le commerçant soutient que l'obscurité causée par le lampadaire a facilité le crime.	Causalité contributive	claude
10	Un promoteur immobilier a omis de divulguer la présence connue d'une servitude de passage sur un terrain vendu. L'acheteur, ignorant de cette servitude, a construit une clôture qui empiète sur le passage. Il subit des frais de démolition et de déplacement de la clôture.	Causalité directe	claude
