index	text	answer	source_model
1	Les employés du Client sont expressément désignés comme tiers bénéficiaires des garanties de niveau de service stipulées à l'Annexe SLA du présent accord. Ces employés peuvent invoquer directement ces garanties si le Prestataire ne les respecte pas.	Oui	claude
2	Les clients finaux du Licencié sont reconnus comme tiers bénéficiaires des garanties de qualité et de conformité accordées par le Concédant aux termes du présent accord. Ces clients peuvent se prévaloir directement de ces garanties contre le Concédant dans la mesure permise par la loi.	Oui	claude
3	La société mère du Client est expressément désignée comme tiers bénéficiaire du présent accord et peut, à ce titre, exercer directement les droits d'audit et d'inspection prévus à l'article 12, indépendamment du Client.	Oui	claude
4	Les actionnaires minoritaires de la Société sont reconnus à titre de tiers bénéficiaires des dispositions relatives au droit de suite (tag-along) et au droit de première offre prévus aux articles 15 et 16 du présent pacte d'actionnaires.	Oui	claude
5	Le présent accord de fourniture est conclu au bénéfice des filiales du Groupe Client identifiées à l'Annexe Groupe, lesquelles sont expressément reconnues comme tiers bénéficiaires et pourront passer des commandes directement auprès du Fournisseur dans le cadre des conditions négociées.	Oui	claude
6	Le présent accord ne confère aucun droit ni bénéfice à tout tiers qui n'en est pas signataire. Les parties ont conclu ce contrat pour leur bénéfice exclusif et n'ont pas l'intention de créer de droits exécutoires pour des tiers.	Non	claude
7	Toutes les obligations découlant du présent accord sont personnelles aux parties et ne peuvent être invoquées par, ni exécutées au bénéfice de, tiers qui ne sont pas parties au présent accord.	Non	claude
8	Les droits conférés par le présent accord appartiennent exclusivement aux parties signataires et ne peuvent pas être invoqués par des entités affiliées, des sous-traitants ou des clients des parties, sauf disposition expresse contraire.	Non	claude
9	Les filiales du Client ne sont pas parties au présent accord et ne peuvent pas prétendre bénéficier des conditions tarifaires négociées pour le compte du Client, à moins de signer séparément un avenant au présent accord.	Non	claude
10	Aucune disposition du présent accord ne sera interprétée comme créant une relation de mandat, de société, de coentreprise ou de tiers bénéficiaire entre les parties et tout tiers.	Non	claude
