index	text	answer	source_model
1	Question : Combien d'années de résidence permanente un adulte doit-il avoir au Canada pour être admissible à la citoyenneté canadienne ?	En vertu de l'art. 5(1) de la Loi sur la citoyenneté (LRC 1985 c C-29, telle que modifiée), un adulte doit avoir résidé au Canada pendant au moins 1 095 jours (trois ans) au cours des cinq ans précédant sa demande de citoyenneté. Les jours passés au Canada avant l'obtention de la résidence permanente peuvent être comptabilisés à raison d'un jour sur deux, jusqu'à concurrence de 365 jours.	claude
2	Question : Un enfant né à l'étranger d'un parent canadien peut-il automatiquement devenir citoyen canadien ?	Selon l'art. 3(1)b) de la Loi sur la citoyenneté, un enfant né à l'étranger est citoyen canadien par filiation s'il est né après le 17 avril 1981 d'un parent qui était citoyen canadien au moment de la naissance. Toutefois, depuis 2009, la règle de « citoyenneté de deuxième génération » s'applique : les enfants nés à l'étranger de parents eux-mêmes nés à l'étranger et ayant obtenu la citoyenneté par filiation ne transmettent pas automatiquement la citoyenneté à leurs propres enfants nés à l'étranger.	claude
3	Question : Peut-on perdre la citoyenneté canadienne après l'avoir obtenue par naturalisation ?	En principe, non. Depuis 2017 (Loi renforçant la citoyenneté canadienne, L.C. 2014 c 22, puis réforme de 2017), les modifications à la Loi sur la citoyenneté ont éliminé la plupart des dispositions permettant la révocation de la citoyenneté des naturalisés. La citoyenneté ne peut être révoquée que dans des cas très limités, notamment si elle a été obtenue par fraude, fausse déclaration ou dissimulation intentionnelle de faits importants (art. 10(1) de la Loi sur la citoyenneté).	claude
4	Question : Un résident permanent qui a commis un crime passible d'une peine d'emprisonnement d'au moins dix ans peut-il faire une demande de citoyenneté canadienne ?	Non, pas immédiatement. L'art. 22(1)b) de la Loi sur la citoyenneté interdit de conférer la citoyenneté à une personne faisant l'objet d'une interdiction de territoire au Canada pour grande criminalité (peine de 10 ans ou plus) ou qui a été déclarée coupable d'une infraction désignée. La personne devra satisfaire à certaines conditions de réhabilitation et d'admissibilité avant de pouvoir déposer une demande.	claude
5	Question : Quelles langues officielles un candidat à la citoyenneté doit-il maîtriser pour réussir l'examen de citoyenneté ?	Selon l'art. 5(1)d) de la Loi sur la citoyenneté, le candidat doit avoir une connaissance suffisante du français ou de l'anglais (et non nécessairement des deux). La connaissance d'une seule langue officielle est suffisante pour satisfaire à l'exigence linguistique. L'évaluation se fait généralement lors de l'entrevue ou de l'examen écrit conduit dans la langue choisie par le demandeur.	claude
6	Question : Un enfant mineur adopté à l'étranger par deux citoyens canadiens acquiert-il automatiquement la citoyenneté canadienne ?	Oui, dans la plupart des cas. L'art. 5.1 de la Loi sur la citoyenneté prévoit que les enfants adoptés à l'étranger par des citoyens canadiens peuvent acquérir la citoyenneté par adoption directe, sans devoir d'abord obtenir la résidence permanente. L'adoption doit avoir été effectuée dans l'intérêt supérieur de l'enfant et ne pas avoir été réalisée dans le but de faciliter l'entrée au Canada ou d'acquérir la citoyenneté.	claude
7	Question : Un demandeur du statut de réfugié peut-il travailler au Canada pendant le traitement de sa demande ?	Oui, dans de nombreux cas. Un demandeur d'asile peut demander un permis de travail auprès d'IRCC (Immigration, Réfugiés et Citoyenneté Canada) pendant le traitement de sa demande de protection, sous réserve d'admissibilité. Depuis 2014, les demandeurs d'asile dont la demande a été jugée recevable par la Section de la protection des réfugiés peuvent être admissibles à un permis de travail ouvert selon l'art. 206 du Règlement sur l'immigration et la protection des réfugiés (DORS/2002-227).	claude
8	Question : Quelle est la durée maximale de résidence à l'étranger pour qu'un résident permanent maintienne son statut au Canada ?	En vertu de l'art. 28 de la Loi sur l'immigration et la protection des réfugiés (LIPR), un résident permanent doit avoir été physiquement présent au Canada pendant au moins 730 jours (deux ans) au cours de chaque période de cinq ans pour maintenir son statut. Certaines exceptions s'appliquent, notamment si le résident permanent accompagne son époux/conjoint de fait citoyen canadien à l'étranger, ou s'il travaille à l'étranger pour une entreprise canadienne.	claude
9	Question : Un citoyen canadien peut-il détenir la double nationalité ?	Oui. Le Canada reconnaît pleinement la double citoyenneté depuis l'entrée en vigueur de la Loi sur la citoyenneté de 1977. Il n'y a aucune obligation pour un citoyen canadien de renoncer à sa nationalité d'origine lors de la naturalisation, et les citoyens canadiens naturalisés peuvent conserver leur citoyenneté étrangère si le pays concerné le permet. La Loi sur la citoyenneté ne prévoit pas de disposition obligeant les citoyens à choisir entre la citoyenneté canadienne et une autre.	claude
10	Question : Dans quel délai maximum un enfant né à l'étranger de parents canadiens peut-il être enregistré comme citoyen canadien ?	Il n'existe pas de délai absolu imposé par la Loi sur la citoyenneté pour l'enregistrement d'un enfant né à l'étranger. L'enregistrement peut être demandé à tout moment aussi longtemps que l'enfant satisfait aux conditions d'admissibilité. Cependant, il est conseillé de procéder rapidement pour des raisons pratiques (passeport canadien, accès aux services, etc.). Les parents doivent présenter une demande de certificat de citoyenneté auprès d'IRCC avec les documents requis.	claude
