index	text	answer	source_model
1	Notre site Web reconnaît et respecte les signaux "Do Not Track" (Ne pas suivre) envoyés par les navigateurs qui prennent en charge cette fonctionnalité. Lorsque nous détectons un tel signal, nous cessons de collecter des données de navigation à des fins de suivi comportemental ou publicitaire pour la session concernée.	Oui	claude
2	Notre plateforme ne prend pas actuellement en charge les signaux "Ne pas me suivre" (Do Not Track) émis par les navigateurs. Si vous souhaitez limiter le suivi de votre navigation, nous vous invitons à utiliser les paramètres de votre navigateur pour bloquer les témoins de connexion tiers ou à vous référer aux options de contrôle décrites dans la section "Vos choix" de cette politique.	Oui	claude
3	Certains navigateurs Web vous permettent d'activer un paramètre "Ne pas me pister" ou similaire. Bien que nous respections votre vie privée, notre site ne modifie pas actuellement ses pratiques de collecte en réponse à ces signaux, car il n'existe pas encore de norme universellement reconnue pour leur interprétation au Canada. Nous continuerons de surveiller l'évolution des pratiques sectorielles à cet égard.	Oui	claude
4	En ce qui concerne les signaux "Do Not Track", sachez que notre partenaire publicitaire principal reconnaît ces signaux sur les navigateurs qui les envoient et désactive en conséquence le ciblage comportemental. Vous pouvez également vous opposer à la publicité ciblée en utilisant les mécanismes d'opt-out fournis par la Digital Advertising Alliance of Canada (DAAC).	Oui	claude
5	Notre technologie de suivi des conversions ne réagit pas aux demandes "Ne pas suivre" transmises par les navigateurs. Si vous souhaitez éviter d'être suivi lors de votre navigation, vous pouvez utiliser le mode de navigation privée de votre navigateur, désactiver les témoins de connexion dans les paramètres de votre navigateur, ou vous désabonner de nos services d'analyse via le lien prévu à cet effet.	Oui	claude
6	Nous utilisons des témoins de connexion (cookies) pour améliorer votre expérience de navigation sur notre site. Ces fichiers nous permettent de mémoriser vos préférences, de vous reconnaître lors de vos visites ultérieures et d'analyser le trafic sur notre plateforme. Vous pouvez configurer votre navigateur pour refuser les témoins, mais cela pourrait affecter certaines fonctionnalités du site.	Non	claude
7	Nous utilisons des outils d'analyse Web pour comprendre comment nos visiteurs interagissent avec notre site. Ces outils collectent des données agrégées sur le comportement des utilisateurs, notamment les pages visitées, le temps passé sur chaque page et les parcours de navigation. Ces informations nous aident à améliorer notre contenu et l'expérience utilisateur.	Non	claude
8	Notre site Web utilise des témoins de connexion publicitaires de tiers pour vous présenter des publicités pertinentes sur d'autres sites Web. Ces partenaires peuvent utiliser des informations sur vos visites sur notre site pour afficher des annonces relatives à des biens et services susceptibles de vous intéresser. Vous pouvez vous opposer à ce type de publicité en suivant les instructions de nos partenaires.	Non	claude
9	Nous avons désigné un responsable de la protection des renseignements personnels chargé d'assurer le respect de la présente politique. Pour toute question ou préoccupation relative à vos renseignements personnels, vous pouvez communiquer avec lui à l'adresse courriel indiquée en bas de cette page. Nous nous engageons à traiter vos demandes avec diligence.	Non	claude
10	Nous collectons des données de navigation, notamment votre adresse IP, les pages que vous consultez et la durée de vos sessions, afin d'améliorer la performance de notre site et de détecter les comportements frauduleux. Ces données de navigation sont conservées pendant une période de douze (12) mois avant d'être anonymisées ou supprimées.	Non	claude
